nu/nu_c,j_nu,alpha_nu
1.000000e+00,6.329685e-23,2.017354e-13
1.258925e+00,6.883555e-23,1.384244e-13
1.584893e+00,7.477195e-23,9.487212e-14
1.995262e+00,8.111699e-23,6.493992e-14
2.511886e+00,8.788305e-23,4.439203e-14
3.162278e+00,9.510054e-23,3.030979e-14
3.981072e+00,1.027865e-22,2.066978e-14
5.011872e+00,1.109731e-22,1.408048e-14
6.309573e+00,1.196867e-22,9.581771e-15
7.943282e+00,1.289521e-22,6.513711e-15
1.000000e+01,1.387898e-22,4.423413e-15
1.258925e+01,1.492106e-22,3.000541e-15
1.584893e+01,1.602376e-22,2.033126e-15
1.995262e+01,1.718672e-22,1.375919e-15
2.511886e+01,1.840897e-22,9.298855e-16
3.162278e+01,1.968862e-22,6.275022e-16
3.981072e+01,2.102208e-22,4.227422e-16
5.011872e+01,2.240378e-22,2.842636e-16
6.309573e+01,2.382645e-22,1.907477e-16
7.943282e+01,2.527944e-22,1.276931e-16
1.000000e+02,2.675008e-22,8.525601e-17
1.258925e+02,2.822152e-22,5.675188e-17
1.584893e+02,2.967382e-22,3.765073e-17
1.995262e+02,3.108293e-22,2.488410e-17
2.511886e+02,3.242091e-22,1.637665e-17
3.162278e+02,3.365560e-22,1.072648e-17
3.981072e+02,3.475000e-22,6.988029e-18
5.011872e+02,3.566960e-22,4.525830e-18
6.309573e+02,3.636950e-22,2.911637e-18
7.943282e+02,3.680872e-22,1.859305e-18
1.000000e+03,3.694812e-22,1.177585e-18
1.258925e+03,3.675043e-22,7.390304e-19
1.584893e+03,3.618553e-22,4.591291e-19
1.995262e+03,3.523225e-22,2.820592e-19
2.511886e+03,3.388334e-22,1.711536e-19
3.162278e+03,3.214388e-22,1.024468e-19
3.981072e+03,3.004058e-22,6.040991e-20
5.011872e+03,2.761650e-22,3.504035e-20
6.309573e+03,2.493322e-22,1.996081e-20
7.943282e+03,2.206944e-22,1.114786e-20
1.000000e+04,1.911577e-22,6.092447e-21
1.258925e+04,1.617055e-22,3.251807e-21
1.584893e+04,1.333020e-22,1.691362e-21
1.995262e+04,1.068322e-22,8.552675e-22
2.511886e+04,8.303522e-23,4.194327e-22
3.162278e+04,6.241663e-23,1.989300e-22
3.981072e+04,4.524495e-23,9.098504e-23
5.011872e+04,3.153455e-23,4.001166e-23
6.309573e+04,2.104808e-23,1.685049e-23
7.943282e+04,1.341813e-23,6.777850e-24
1.000000e+05,8.131506e-24,2.591618e-24
1.258925e+05,4.665709e-24,9.382478e-25
1.584893e+05,2.523253e-24,3.201553e-25
1.995262e+05,1.279840e-24,1.024603e-25
2.511886e+05,6.056604e-25,3.059350e-26
3.162278e+05,2.658172e-25,8.471944e-27
3.981072e+05,1.075459e-25,2.162688e-27
5.011872e+05,3.983996e-26,5.054972e-28
6.309573e+05,1.341676e-26,1.074107e-28
7.943282e+05,4.074707e-27,2.058241e-29
1.000000e+06,1.106859e-27,3.527705e-30
1.258925e+06,2.664475e-28,5.358108e-31
1.584893e+06,5.631934e-29,7.145909e-32
1.995262e+06,1.034052e-29,8.278325e-33
2.511886e+06,1.631195e-30,8.239595e-34
3.162278e+06,2.183340e-31,6.958590e-35
3.981072e+06,2.449120e-32,4.925042e-36
5.011872e+06,2.267722e-33,2.877330e-37
6.309573e+06,1.707353e-34,1.366857e-38
7.943282e+06,1.027911e-35,5.192246e-40
1.000000e+07,4.860799e-37,1.549200e-41
