nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.381565e-22,1.641345e-12
1.258925e+00,1.503476e-22,1.127002e-12
1.584893e+00,1.629370e-22,7.706341e-13
1.995262e+00,1.759938e-22,5.252014e-13
2.511886e+00,1.898481e-22,3.574660e-13
3.162278e+00,2.042739e-22,2.426841e-13
3.981072e+00,2.193450e-22,1.644206e-13
5.011872e+00,2.348537e-22,1.110775e-13
6.309573e+00,2.506334e-22,7.479410e-14
7.943282e+00,2.664878e-22,5.017713e-14
1.000000e+01,2.821849e-22,3.352449e-14
1.258925e+01,2.975059e-22,2.230098e-14
1.584893e+01,3.121611e-22,1.476411e-14
1.995262e+01,3.258678e-22,9.724561e-15
2.511886e+01,3.382917e-22,6.369713e-15
3.162278e+01,3.490908e-22,4.147313e-15
3.981072e+01,3.578918e-22,2.682751e-15
5.011872e+01,3.642837e-22,1.722932e-15
6.309573e+01,3.678485e-22,1.097735e-15
7.943282e+01,3.682182e-22,6.933201e-16
1.000000e+02,3.650219e-22,4.336580e-16
1.258925e+02,3.580213e-22,2.683721e-16
1.584893e+02,3.470491e-22,1.641419e-16
1.995262e+02,3.320412e-22,9.908787e-17
2.511886e+02,3.131879e-22,5.897031e-17
3.162278e+02,2.908355e-22,3.455222e-17
3.981072e+02,2.654492e-22,1.989802e-17
5.011872e+02,2.377651e-22,1.124544e-17
6.309573e+02,2.086265e-22,6.225840e-18
7.943282e+02,1.789798e-22,3.370021e-18
1.000000e+03,1.498033e-22,1.779713e-18
1.258925e+03,1.220690e-22,9.150271e-19
1.584893e+03,9.661009e-23,4.569314e-19
1.995262e+03,7.406058e-23,2.210119e-19
2.511886e+03,5.483870e-23,1.032561e-19
3.162278e+03,3.910543e-23,4.645854e-20
3.981072e+03,2.677097e-23,2.006747e-20
5.011872e+03,1.752983e-23,8.290988e-21
6.309573e+03,1.093508e-23,3.263252e-21
7.943282e+03,6.479383e-24,1.220007e-21
1.000000e+04,3.626191e-24,4.308034e-22
1.258925e+04,1.908938e-24,1.430936e-22
1.584893e+04,9.403815e-25,4.447670e-23
1.995262e+04,4.310938e-25,1.286472e-23
2.511886e+04,1.828320e-25,3.442552e-24
3.162278e+04,7.127931e-26,8.468216e-25
3.981072e+04,2.536704e-26,1.901509e-25
5.011872e+04,8.179827e-27,3.868767e-26
6.309573e+04,2.371159e-27,7.076021e-27
7.943282e+04,6.124654e-28,1.153214e-27
1.000000e+05,1.396691e-28,1.659315e-28
1.258925e+05,2.783947e-29,2.086841e-29
1.584893e+05,4.798640e-30,2.269586e-30
1.995262e+05,7.068822e-31,2.109480e-31
2.511886e+05,8.788374e-32,1.654768e-32
3.162278e+05,9.096204e-33,1.080659e-33
3.981072e+05,7.723401e-34,5.789447e-35
5.011872e+05,5.294802e-35,2.504253e-36
6.309573e+05,2.880894e-36,8.597174e-38
7.943282e+05,1.221253e-37,2.299503e-39
1.000000e+06,3.953701e-39,4.697127e-41
1.258925e+06,9.566504e-41,7.171033e-43
1.584893e+06,1.690204e-42,7.994063e-45
1.995262e+06,2.126413e-44,6.345651e-47
2.511886e+06,1.853844e-46,3.490612e-49
3.162278e+06,1.087690e-48,1.292211e-51
3.981072e+06,4.160988e-51,3.119069e-54
5.011872e+06,1.003024e-53,4.743945e-57
6.309573e+06,1.468355e-56,4.381869e-60
7.943282e+06,1.254471e-59,2.362050e-63
1.000000e+07,5.991377e-63,7.117953e-67
