nu/nu_c,j_nu,alpha_nu
1.000000e+00,9.995400e-23,6.756638e-13
1.258925e+00,1.086836e-22,4.635478e-13
1.584893e+00,1.179928e-22,3.175309e-13
1.995262e+00,1.279574e-22,2.172680e-13
2.511886e+00,1.386050e-22,1.484942e-13
3.162278e+00,1.498762e-22,1.013125e-13
3.981072e+00,1.617469e-22,6.898687e-14
5.011872e+00,1.741896e-22,4.687622e-14
6.309573e+00,1.871793e-22,3.178252e-14
7.943282e+00,2.006828e-22,2.150011e-14
1.000000e+01,2.146493e-22,1.450975e-14
1.258925e+01,2.290258e-22,9.768210e-15
1.584893e+01,2.437166e-22,6.558667e-15
1.995262e+01,2.586135e-22,4.391185e-15
2.511886e+01,2.735736e-22,2.930925e-15
3.162278e+01,2.884215e-22,1.949657e-15
3.981072e+01,3.029403e-22,1.292075e-15
5.011872e+01,3.168739e-22,8.527406e-16
6.309573e+01,3.299200e-22,5.601949e-16
7.943282e+01,3.417326e-22,3.661145e-16
1.000000e+02,3.519442e-22,2.379054e-16
1.258925e+02,3.601597e-22,1.536122e-16
1.584893e+02,3.659551e-22,9.848233e-17
1.995262e+02,3.689083e-22,6.263960e-17
2.511886e+02,3.686570e-22,3.949600e-17
3.162278e+02,3.648493e-22,2.466289e-17
3.981072e+02,3.572389e-22,1.523664e-17
5.011872e+02,3.456655e-22,9.302220e-18
6.309573e+02,3.301376e-22,5.605644e-18
7.943282e+02,3.108117e-22,3.329874e-18
1.000000e+03,2.880324e-22,1.947027e-18
1.258925e+03,2.623441e-22,1.118927e-18
1.584893e+03,2.344567e-22,6.309475e-19
1.995262e+03,2.052206e-22,3.484588e-19
2.511886e+03,1.755932e-22,1.881214e-19
3.162278e+03,1.465656e-22,9.907469e-20
3.981072e+03,1.190766e-22,5.078749e-20
5.011872e+03,9.392309e-23,2.527568e-20
6.309573e+03,7.174983e-23,1.218292e-20
7.943282e+03,5.292635e-23,5.670254e-21
1.000000e+04,3.758500e-23,2.540651e-21
1.258925e+04,2.560944e-23,1.092272e-21
1.584893e+04,1.669209e-23,4.492015e-22
1.995262e+04,1.036414e-23,1.759802e-22
2.511886e+04,6.104237e-24,6.539761e-23
3.162278e+04,3.395887e-24,2.295534e-23
3.981072e+04,1.776004e-24,7.574857e-24
5.011872e+04,8.686667e-25,2.337673e-24
6.309573e+04,3.952269e-25,6.710843e-25
7.943282e+04,1.662404e-25,1.781013e-25
1.000000e+05,6.423049e-26,4.341819e-26
1.258925e+05,2.263969e-26,9.656081e-27
1.584893e+05,7.224283e-27,1.944130e-27
1.995262e+05,2.070130e-27,3.515023e-28
2.511886e+05,5.281750e-28,5.658592e-29
3.162278e+05,1.188462e-28,8.033703e-30
3.981072e+05,2.334874e-29,9.958501e-31
5.011872e+05,3.962194e-30,1.066268e-31
6.309573e+05,5.740028e-31,9.746407e-33
7.943282e+05,7.007733e-32,7.507720e-34
1.000000e+06,7.112669e-33,4.807985e-35
1.258925e+06,5.913090e-34,2.522000e-36
1.584893e+06,3.962398e-35,1.066323e-37
1.995262e+06,2.103531e-36,3.571737e-39
2.511886e+06,8.683279e-38,9.302812e-41
3.162278e+06,2.731591e-39,1.846487e-42
3.981072e+06,6.407698e-41,2.732955e-44
5.011872e+06,1.094835e-42,2.946316e-46
6.309573e+06,1.328468e-44,2.255701e-48
7.943282e+06,1.113852e-46,1.193322e-50
1.000000e+07,6.265419e-49,4.235266e-53
