nu/nu_c,j_nu,alpha_nu
1.000000e+00,6.216094e-24,5.570537e-16
1.258925e+00,6.716204e-24,3.797549e-16
1.584893e+00,7.255859e-24,2.588620e-16
1.995262e+00,7.838243e-24,1.764405e-16
2.511886e+00,8.466774e-24,1.202534e-16
3.162278e+00,9.145160e-24,8.195412e-17
3.981072e+00,9.877370e-24,5.584970e-17
5.011872e+00,1.066771e-23,3.805842e-17
6.309573e+00,1.152082e-23,2.593362e-17
7.943282e+00,1.244171e-23,1.767093e-17
1.000000e+01,1.343580e-23,1.204046e-17
1.258925e+01,1.449855e-23,8.197930e-18
1.584893e+01,1.565626e-23,5.585570e-18
1.995262e+01,1.690613e-23,3.805604e-18
2.511886e+01,1.825495e-23,2.592747e-18
3.162278e+01,1.971112e-23,1.766407e-18
3.981072e+01,2.128274e-23,1.203392e-18
5.011872e+01,2.297920e-23,8.198122e-19
6.309573e+01,2.481010e-23,5.584804e-19
7.943282e+01,2.678596e-23,3.804404e-19
1.000000e+02,2.891796e-23,2.591476e-19
1.258925e+02,3.121918e-23,1.765229e-19
1.584893e+02,3.370100e-23,1.202326e-19
1.995262e+02,3.637867e-23,8.188914e-20
2.511886e+02,3.926685e-23,5.577063e-20
3.162278e+02,4.238140e-23,3.797999e-20
3.981072e+02,4.573912e-23,2.586231e-20
5.011872e+02,4.935886e-23,1.760940e-20
6.309573e+02,5.325917e-23,1.198875e-20
7.943282e+02,5.746066e-23,8.161126e-21
1.000000e+03,6.198336e-23,5.554623e-21
1.258925e+03,6.685509e-23,3.780193e-21
1.584893e+03,7.209388e-23,2.572041e-21
1.995262e+03,7.772616e-23,1.749632e-21
2.511886e+03,8.377697e-23,1.189883e-21
3.162278e+03,9.027321e-23,8.089812e-22
3.981072e+03,9.724039e-23,5.498272e-22
5.011872e+03,1.047045e-22,3.735468e-22
6.309573e+03,1.126906e-22,2.536690e-22
7.943282e+03,1.212235e-22,1.721735e-22
1.000000e+04,1.303247e-22,1.167901e-22
1.258925e+04,1.400127e-22,7.916751e-23
1.584893e+04,1.503026e-22,5.362238e-23
1.995262e+04,1.612025e-22,3.628702e-23
2.511886e+04,1.727137e-22,2.453049e-23
3.162278e+04,1.848273e-22,1.656326e-23
3.981072e+04,1.975209e-22,1.116844e-23
5.011872e+04,2.107624e-22,7.519218e-24
6.309573e+04,2.244928e-22,5.053379e-24
7.943282e+04,2.386394e-22,3.389390e-24
1.000000e+05,2.530938e-22,2.268094e-24
1.258925e+05,2.677312e-22,1.513835e-24
1.584893e+05,2.823838e-22,1.007440e-24
1.995262e+05,2.968586e-22,6.682349e-25
2.511886e+05,3.109074e-22,4.415811e-25
3.162278e+05,3.242519e-22,2.905775e-25
3.981072e+05,3.365778e-22,1.903114e-25
5.011872e+05,3.475224e-22,1.239831e-25
6.309573e+05,3.567088e-22,8.029590e-26
7.943282e+05,3.637161e-22,5.165853e-26
1.000000e+06,3.681338e-22,3.299022e-26
1.258925e+06,3.695642e-22,2.089630e-26
1.584893e+06,3.676289e-22,1.311563e-26
1.995262e+06,3.620320e-22,8.149415e-27
2.511886e+06,3.525681e-22,5.007518e-27
3.162278e+06,3.391305e-22,3.039110e-27
3.981072e+06,3.217834e-22,1.819463e-27
5.011872e+06,3.008475e-22,1.073312e-27
6.309573e+06,2.766451e-22,6.227339e-28
7.943282e+06,2.498445e-22,3.548536e-28
1.000000e+07,2.212151e-22,1.982414e-28
