nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.540148e-22,1.357528e-11
1.258925e+00,2.765262e-22,9.324510e-12
1.584893e+00,2.992239e-22,6.366283e-12
1.995262e+00,3.142632e-22,4.218745e-12
2.511886e+00,3.295612e-22,2.791424e-12
3.162278e+00,3.399475e-22,1.816777e-12
3.981072e+00,3.469031e-22,1.169763e-12
5.011872e+00,3.491521e-22,7.428556e-13
6.309573e+00,3.464916e-22,4.651387e-13
7.943282e+00,3.390712e-22,2.871975e-13
1.000000e+01,nan,nan
1.258925e+01,3.121169e-22,1.052463e-13
1.584893e+01,2.930806e-22,6.235580e-14
1.995262e+01,2.703905e-22,3.629787e-14
2.511886e+01,2.443086e-22,2.069324e-14
3.162278e+01,2.156442e-22,1.152464e-14
3.981072e+01,1.857770e-22,6.264431e-15
5.011872e+01,1.560003e-22,3.319061e-15
6.309573e+01,1.274491e-22,1.710907e-15
7.943282e+01,1.010614e-22,8.560026e-16
1.000000e+02,7.757889e-23,4.146038e-16
1.258925e+02,5.749141e-23,1.938620e-16
1.584893e+02,4.101532e-23,8.726414e-17
1.995262e+02,2.807459e-23,3.768800e-17
2.511886e+02,1.837361e-23,1.556267e-17
3.162278e+02,1.145309e-23,6.120859e-18
3.981072e+02,6.773195e-24,2.283933e-18
5.011872e+02,3.783467e-24,8.049699e-19
6.309573e+02,1.986735e-24,2.667041e-19
7.943282e+02,9.758572e-25,8.265630e-20
1.000000e+03,4.458237e-25,2.382610e-20
1.258925e+03,1.883549e-25,6.351358e-21
1.584893e+03,7.310522e-26,1.555386e-21
1.995262e+03,2.589057e-26,3.475612e-22
2.511886e+03,8.304136e-27,7.033705e-23
3.162278e+03,2.392602e-27,1.278675e-23
3.981072e+03,6.140015e-28,2.070423e-24
5.011872e+03,1.390255e-28,2.957904e-25
6.309573e+03,2.749595e-29,3.691122e-26
7.943282e+03,4.698359e-30,3.979568e-27
1.000000e+04,6.856849e-31,3.664496e-28
1.258925e+04,8.438361e-32,2.845429e-29
1.584893e+04,8.636721e-33,1.837548e-30
1.995262e+04,7.244482e-34,9.725167e-32
2.511886e+04,4.901136e-35,4.151323e-33
3.162278e+04,2.628680e-36,1.404842e-34
3.981072e+04,1.097116e-37,3.699495e-36
5.011872e+04,3.492396e-39,7.430416e-38
6.309573e+04,8.297312e-41,1.113851e-39
7.943282e+04,1.437254e-42,1.217371e-41
1.000000e+05,1.769872e-44,9.458700e-44
1.258925e+05,1.507712e-46,5.084030e-46
1.584893e+05,8.627354e-49,1.835555e-48
1.995262e+05,3.212276e-51,4.312237e-51
2.511886e+05,7.520016e-54,6.369545e-54
3.162278e+05,1.066603e-56,5.700233e-57
3.981072e+05,8.806207e-60,2.969468e-60
5.011872e+05,4.053365e-63,8.623934e-64
6.309573e+05,9.927197e-67,1.332651e-67
7.943282e+05,1.230126e-70,1.041932e-71
1.000000e+06,7.304144e-75,3.903543e-76
1.258925e+06,1.959685e-79,6.608091e-81
1.584893e+06,2.229812e-84,4.744146e-86
1.995262e+06,1.004818e-89,1.348891e-91
2.511886e+06,1.665498e-95,1.410697e-97
3.162278e+06,9.375184e-102,5.010366e-104
3.981072e+06,1.644261e-108,5.544474e-111
5.011872e+06,8.186689e-116,1.741799e-118
6.309573e+06,1.046553e-123,1.404917e-126
7.943282e+06,3.081891e-132,2.610400e-135
1.000000e+07,1.859547e-141,9.937949e-145
