nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.679710e-23,6.771346e-15
1.258925e+00,1.816876e-23,4.621319e-15
1.584893e+00,1.964669e-23,3.153044e-15
1.995262e+00,2.123941e-23,2.150716e-15
2.511886e+00,2.295618e-23,1.466697e-15
3.162278e+00,2.480712e-23,1.000040e-15
3.981072e+00,2.680279e-23,6.817429e-16
5.011872e+00,2.895472e-23,4.646865e-16
6.309573e+00,3.127517e-23,3.166944e-16
7.943282e+00,3.377729e-23,2.158070e-16
1.000000e+01,3.647518e-23,1.470409e-16
1.258925e+01,3.936729e-23,1.001328e-16
1.584893e+01,4.250262e-23,6.821132e-17
1.995262e+01,4.588163e-23,4.646004e-17
2.511886e+01,4.952326e-23,3.164098e-17
3.162278e+01,5.344641e-23,2.154563e-17
3.981072e+01,5.767187e-23,1.466914e-17
5.011872e+01,6.222099e-23,9.985680e-18
6.309573e+01,6.711679e-23,6.796290e-18
7.943282e+01,7.238273e-23,4.624616e-18
1.000000e+02,7.804346e-23,3.146134e-18
1.258925e+02,8.412419e-23,2.139743e-18
1.584893e+02,9.065112e-23,1.454836e-18
1.995262e+02,9.765038e-23,9.888141e-19
2.511886e+02,1.051485e-22,6.718058e-19
3.162278e+02,1.131697e-22,4.562165e-19
3.981072e+02,1.217391e-22,3.096498e-19
5.011872e+02,1.308773e-22,2.100415e-19
6.309573e+02,1.406040e-22,1.423765e-19
7.943282e+02,1.509327e-22,9.643264e-20
1.000000e+03,1.618700e-22,6.525399e-20
1.258925e+03,1.734226e-22,4.411095e-20
1.584893e+03,1.855733e-22,2.978216e-20
1.995262e+03,1.983045e-22,2.008044e-20
2.511886e+03,2.115762e-22,1.351785e-20
3.162278e+03,2.253365e-22,9.083899e-21
3.981072e+03,2.395048e-22,6.091930e-21
5.011872e+03,2.539775e-22,4.076016e-21
6.309573e+03,2.686220e-22,2.720084e-21
7.943282e+03,2.832777e-22,1.809894e-21
1.000000e+04,2.977271e-22,1.200215e-21
1.258925e+04,3.117426e-22,7.929336e-22
1.584893e+04,3.250334e-22,5.216375e-22
1.995262e+04,3.372885e-22,3.415405e-22
2.511886e+04,3.481386e-22,2.224298e-22
3.162278e+04,3.571990e-22,1.439962e-22
3.981072e+04,3.640612e-22,9.260087e-23
5.011872e+04,3.683102e-22,5.910912e-23
6.309573e+04,3.695404e-22,3.741990e-23
7.943282e+04,3.673921e-22,2.347310e-23
1.000000e+05,3.615633e-22,1.457555e-23
1.258925e+05,3.518545e-22,8.949605e-24
1.584893e+05,3.381776e-22,5.427322e-24
1.995262e+05,3.206299e-22,3.246719e-24
2.511886e+05,2.994475e-22,1.913205e-24
3.162278e+05,2.750648e-22,1.108857e-24
3.981072e+05,2.481475e-22,6.311761e-25
5.011872e+05,2.194712e-22,3.522234e-25
6.309573e+05,1.899111e-22,1.923052e-25
7.943282e+05,1.604879e-22,1.025376e-25
1.000000e+06,1.321629e-22,5.327828e-26
1.258925e+06,1.058035e-22,2.691168e-26
1.584893e+06,8.213037e-23,1.318088e-26
1.995262e+06,6.165636e-23,6.243363e-27
2.511886e+06,4.462804e-23,2.851337e-27
3.162278e+06,3.105251e-23,1.251807e-27
3.981072e+06,2.070047e-23,5.265275e-28
5.011872e+06,1.317342e-23,2.114167e-28
6.309573e+06,7.968693e-24,8.069151e-29
7.943282e+06,4.562936e-24,2.915312e-29
1.000000e+07,2.462235e-24,9.925908e-30
