nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.992599e-22,5.020870e-12
1.258925e+00,2.175051e-22,3.458029e-12
1.584893e+00,2.358466e-22,2.365858e-12
1.995262e+00,2.531090e-22,1.602015e-12
2.511886e+00,2.703837e-22,1.079791e-12
3.162278e+00,2.865424e-22,7.220180e-13
3.981072e+00,3.021079e-22,4.803095e-13
5.011872e+00,3.167221e-22,3.177149e-13
6.309573e+00,3.301883e-22,2.089877e-13
7.943282e+00,3.421581e-22,1.366425e-13
1.000000e+01,3.521051e-22,8.872201e-14
1.258925e+01,3.594544e-22,5.714825e-14
1.584893e+01,3.635379e-22,3.646774e-14
1.995262e+01,3.638846e-22,2.303153e-14
2.511886e+01,3.600897e-22,1.438036e-14
3.162278e+01,3.520284e-22,8.870268e-15
3.981072e+01,3.397324e-22,5.401272e-15
5.011872e+01,3.233019e-22,3.243153e-15
6.309573e+01,3.030199e-22,1.917919e-15
7.943282e+01,2.793095e-22,1.115437e-15
1.000000e+02,2.528001e-22,6.369953e-16
1.258925e+02,2.243114e-22,3.566239e-16
1.584893e+02,1.947388e-22,1.953492e-16
1.995262e+02,1.650901e-22,1.044913e-16
2.511886e+02,1.364108e-22,5.447632e-17
3.162278e+02,1.095407e-22,2.760162e-17
3.981072e+02,8.531727e-23,1.356426e-17
5.011872e+02,6.427644e-23,6.447791e-18
6.309573e+02,4.669028e-23,2.955191e-18
7.943282e+02,3.261662e-23,1.302561e-18
1.000000e+03,2.182096e-23,5.498356e-19
1.258925e+03,1.393929e-23,2.216152e-19
1.584893e+03,8.470629e-24,8.497179e-20
1.995262e+03,4.872975e-24,3.084276e-20
2.511886e+03,2.642281e-24,1.055208e-20
3.162278e+03,1.343901e-24,3.386308e-21
3.981072e+03,6.378535e-25,1.014098e-21
5.011872e+03,2.808482e-25,2.817285e-22
6.309573e+03,1.140157e-25,7.216453e-23
7.943282e+03,4.239354e-26,1.693007e-23
1.000000e+04,1.433467e-26,3.611993e-24
1.258925e+04,4.372613e-27,6.951847e-25
1.584893e+04,1.193996e-27,1.197738e-25
1.995262e+04,2.890928e-28,1.829770e-26
2.511886e+04,6.147175e-29,2.454905e-27
3.162278e+04,1.136156e-29,2.862839e-28
3.981072e+04,1.804764e-30,2.869324e-29
5.011872e+04,2.434087e-31,2.441717e-30
6.309573e+04,2.750888e-32,1.741133e-31
7.943282e+04,2.568375e-33,1.025693e-32
1.000000e+05,1.950906e-34,4.915814e-34
1.258925e+05,1.185820e-35,1.885289e-35
1.584893e+05,5.665629e-37,5.683387e-37
1.995262e+05,2.087141e-38,1.321024e-38
2.511886e+05,5.806195e-40,2.318733e-40
3.162278e+05,1.192642e-41,3.005172e-42
3.981072e+05,1.765525e-43,2.806939e-44
5.011872e+05,1.834891e-45,1.840643e-46
6.309573e+05,1.301493e-47,8.237604e-49
7.943282e+05,6.111006e-50,2.440460e-51
1.000000e+06,1.837855e-52,4.630953e-54
1.258925e+06,3.416533e-55,5.431812e-57
1.584893e+06,3.777916e-58,3.789757e-60
1.995262e+06,2.383954e-61,1.508888e-63
2.511886e+06,8.208682e-65,3.278178e-67
3.162278e+06,1.469532e-68,3.702868e-71
3.981072e+06,1.298198e-72,2.063954e-75
5.011872e+06,5.349051e-77,5.365816e-80
6.309573e+06,9.672805e-82,6.122256e-85
7.943282e+06,7.188291e-87,2.870680e-90
1.000000e+07,2.044928e-92,5.152726e-96
