nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.900322e-23,9.244865e-15
1.258925e+00,2.056028e-23,6.311061e-15
1.584893e+00,2.223722e-23,4.306792e-15
1.995262e+00,2.404374e-23,2.938160e-15
2.511886e+00,2.599029e-23,2.003939e-15
3.162278e+00,2.808831e-23,1.366467e-15
3.981072e+00,3.034974e-23,9.315975e-16
5.011872e+00,3.278748e-23,6.350112e-16
6.309573e+00,3.541540e-23,4.327784e-16
7.943282e+00,3.824817e-23,2.949063e-16
1.000000e+01,4.130140e-23,2.009269e-16
1.258925e+01,4.457527e-23,1.368256e-16
1.584893e+01,4.812079e-23,9.319790e-17
1.995262e+01,5.194108e-23,6.347232e-17
2.511886e+01,5.605513e-23,4.322040e-17
3.162278e+01,6.048510e-23,2.942536e-17
3.981072e+01,6.525259e-23,2.002955e-17
5.011872e+01,7.038142e-23,1.363111e-17
6.309573e+01,7.589618e-23,9.274559e-18
7.943282e+01,8.182138e-23,6.308705e-18
1.000000e+02,8.818286e-23,4.290002e-18
1.258925e+02,9.500689e-23,2.916275e-18
1.584893e+02,1.023207e-22,1.981695e-18
1.995262e+02,1.101475e-22,1.346009e-18
2.511886e+02,1.185134e-22,9.137786e-19
3.162278e+02,1.274413e-22,6.199885e-19
3.981072e+02,1.369509e-22,4.203762e-19
5.011872e+02,1.470580e-22,2.848145e-19
6.309573e+02,1.577734e-22,1.928001e-19
7.943282e+02,1.691004e-22,1.303821e-19
1.000000e+03,1.810334e-22,8.807085e-20
1.258925e+03,1.935554e-22,5.941262e-20
1.584893e+03,2.066342e-22,4.001986e-20
1.995262e+03,2.202245e-22,2.691157e-20
2.511886e+03,2.342537e-22,1.806175e-20
3.162278e+03,2.486280e-22,1.209549e-20
3.981072e+03,2.632289e-22,8.079919e-21
5.011872e+03,2.778991e-22,5.382208e-21
6.309573e+03,2.924505e-22,3.573763e-21
7.943282e+03,3.066582e-22,2.364438e-21
1.000000e+04,3.202545e-22,1.558004e-21
1.258925e+04,3.329296e-22,1.021941e-21
1.584893e+04,3.443392e-22,6.668987e-22
1.995262e+04,3.541045e-22,4.327178e-22
2.511886e+04,3.618226e-22,2.789774e-22
3.162278e+04,3.670770e-22,1.785791e-22
3.981072e+04,3.694648e-22,1.134087e-22
5.011872e+04,3.686052e-22,7.138958e-23
6.309573e+04,3.641462e-22,4.449889e-23
7.943282e+04,3.558754e-22,2.743919e-23
1.000000e+05,3.436699e-22,1.671918e-23
1.258925e+05,3.275133e-22,1.005315e-23
1.584893e+05,3.076179e-22,5.957787e-24
1.995262e+05,2.843619e-22,3.474920e-24
2.511886e+05,2.583215e-22,1.991746e-24
3.162278e+05,2.301430e-22,1.119621e-24
3.981072e+05,2.008059e-22,6.163819e-25
5.011872e+05,1.712142e-22,3.315989e-25
6.309573e+05,1.423814e-22,1.739909e-25
7.943282e+05,1.151871e-22,8.881311e-26
1.000000e+06,9.046620e-23,4.401085e-26
1.258925e+06,6.878412e-23,2.111357e-26
1.584893e+06,5.047785e-23,9.776293e-27
1.995262e+06,3.565103e-23,4.356578e-27
2.511886e+06,2.414862e-23,1.861940e-27
3.162278e+06,1.563665e-23,7.607063e-28
3.981072e+06,9.641048e-24,2.959359e-28
5.011872e+06,5.638148e-24,1.091968e-28
6.309573e+06,3.111749e-24,3.802576e-29
7.943282e+06,1.614500e-24,1.244834e-29
1.000000e+07,7.816095e-25,3.802447e-30
