nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.158323e-23,2.656884e-15
1.258925e+00,1.252204e-23,1.812249e-15
1.584893e+00,1.353439e-23,1.235895e-15
1.995262e+00,1.462624e-23,8.427047e-16
2.511886e+00,1.580395e-23,5.745243e-16
3.162278e+00,1.707446e-23,3.916424e-16
3.981072e+00,1.844514e-23,2.669468e-16
5.011872e+00,1.992399e-23,1.819362e-16
6.309573e+00,2.151958e-23,1.239871e-16
7.943282e+00,2.324112e-23,8.448895e-17
1.000000e+01,2.509856e-23,5.756939e-17
1.258925e+01,2.708781e-23,3.920276e-17
1.584893e+01,2.924912e-23,2.670887e-17
1.995262e+01,3.158105e-23,1.819573e-17
2.511886e+01,3.409643e-23,1.239515e-17
3.162278e+01,3.680926e-23,8.443060e-18
3.981072e+01,3.973547e-23,5.750705e-18
5.011872e+01,4.289030e-23,3.916534e-18
6.309573e+01,4.629144e-23,2.667126e-18
7.943282e+01,4.995703e-23,1.816098e-18
1.000000e+02,5.390659e-23,1.236473e-18
1.258925e+02,5.816075e-23,8.417300e-19
1.584893e+02,6.274123e-23,5.729223e-19
1.995262e+02,6.767074e-23,3.898914e-19
2.511886e+02,7.297336e-23,2.652816e-19
3.162278e+02,7.867326e-23,1.804554e-19
3.981072e+02,8.479627e-23,1.227212e-19
5.011872e+02,9.136809e-23,8.343290e-20
6.309573e+02,9.841476e-23,5.670260e-20
7.943282e+02,1.059664e-22,3.852218e-20
1.000000e+03,1.140381e-22,2.615729e-20
1.258925e+03,1.226626e-22,1.775232e-20
1.584893e+03,1.318589e-22,1.204071e-20
1.995262e+03,1.416453e-22,8.161030e-21
2.511886e+03,1.520347e-22,5.526948e-21
3.162278e+03,1.630348e-22,3.739583e-21
3.981072e+03,1.746465e-22,2.527566e-21
5.011872e+03,1.868569e-22,1.706287e-21
6.309573e+03,1.996434e-22,1.150264e-21
7.943282e+03,2.129687e-22,7.742095e-22
1.000000e+04,2.267733e-22,5.201573e-22
1.258925e+04,2.409767e-22,3.487529e-22
1.584893e+04,2.554731e-22,2.332856e-22
1.995262e+04,2.701256e-22,1.556354e-22
2.511886e+04,2.847662e-22,1.035217e-22
3.162278e+04,2.991853e-22,6.862510e-23
3.981072e+04,3.131409e-22,4.531923e-23
5.011872e+04,3.263401e-22,2.979979e-23
6.309573e+04,3.384697e-22,1.950126e-23
7.943282e+04,3.491552e-22,1.269291e-23
1.000000e+05,3.580092e-22,8.211773e-24
1.258925e+05,3.646214e-22,5.276973e-24
1.584893e+05,3.685815e-22,3.365707e-24
1.995262e+05,3.694909e-22,2.128857e-24
2.511886e+05,3.669688e-22,1.334049e-24
3.162278e+05,3.607533e-22,8.274715e-25
3.981072e+05,3.506495e-22,5.074766e-25
5.011872e+05,3.365647e-22,3.073345e-25
6.309573e+05,3.186214e-22,1.835768e-25
7.943282e+05,2.971065e-22,1.080078e-25
1.000000e+06,2.724223e-22,6.248639e-26
1.258925e+06,2.453027e-22,3.550137e-26
1.584893e+06,2.164665e-22,1.976666e-26
1.995262e+06,1.868998e-22,1.076841e-26
2.511886e+06,1.575387e-22,5.727036e-27
3.162278e+06,1.293010e-22,2.965818e-27
3.981072e+06,1.032404e-22,1.494144e-27
5.011872e+06,7.989492e-23,7.295615e-28
6.309573e+06,5.976204e-23,3.443247e-28
7.943282e+06,4.308816e-23,1.566393e-28
1.000000e+07,2.985308e-23,6.847497e-29
