nu/nu_c,j_nu,alpha_nu
1.000000e+00,5.486972e-24,4.074549e-16
1.258925e+00,5.927982e-24,2.777498e-16
1.584893e+00,6.403906e-24,1.893180e-16
1.995262e+00,6.917547e-24,1.290325e-16
2.511886e+00,7.471920e-24,8.793851e-17
3.162278e+00,8.070310e-24,5.992900e-17
3.981072e+00,8.716207e-24,4.083893e-17
5.011872e+00,9.413419e-24,2.782879e-17
6.309573e+00,1.016605e-23,1.896265e-17
7.943282e+00,1.097850e-23,1.292082e-17
1.000000e+01,1.185558e-23,8.803786e-18
1.258925e+01,1.279302e-23,5.994045e-18
1.584893e+01,1.381446e-23,4.083955e-18
1.995262e+01,1.491740e-23,2.782531e-18
2.511886e+01,1.610766e-23,1.895742e-18
3.162278e+01,1.739272e-23,1.291560e-18
3.981072e+01,1.877998e-23,8.799175e-19
5.011872e+01,2.027720e-23,5.994525e-19
6.309573e+01,2.189342e-23,4.083763e-19
7.943282e+01,2.363792e-23,2.781993e-19
1.000000e+02,2.552070e-23,1.895132e-19
1.258925e+02,2.755226e-23,1.290934e-19
1.584893e+02,2.974491e-23,8.793454e-20
1.995262e+02,3.211027e-23,5.989503e-20
2.511886e+02,3.466281e-23,4.079535e-20
3.162278e+02,3.741589e-23,2.778452e-20
3.981072e+02,4.038506e-23,1.892202e-20
5.011872e+02,4.358681e-23,1.288552e-20
6.309573e+02,4.703844e-23,8.774044e-21
7.943282e+02,5.075884e-23,5.973908e-21
1.000000e+03,5.476738e-23,4.066950e-21
1.258925e+03,5.908499e-23,2.768369e-21
1.584893e+03,6.373353e-23,1.884147e-21
1.995262e+03,6.874072e-23,1.282215e-21
2.511886e+03,7.411455e-23,8.722688e-22
3.162278e+03,7.989970e-23,5.933241e-22
3.981072e+03,8.611105e-23,4.034649e-22
5.011872e+03,9.277722e-23,2.742763e-22
6.309573e+03,9.992397e-23,1.863874e-22
7.943282e+03,1.075764e-22,1.266088e-22
1.000000e+04,1.157608e-22,8.596238e-23
1.258925e+04,1.244998e-22,5.833316e-23
1.584893e+04,1.338147e-22,3.955948e-23
1.995262e+04,1.437223e-22,2.680841e-23
2.511886e+04,1.542356e-22,1.815229e-23
3.162278e+04,1.653606e-22,1.227945e-23
3.981072e+04,1.770949e-22,8.297608e-24
5.011872e+04,1.894247e-22,5.599941e-24
6.309573e+04,2.023242e-22,3.773937e-24
7.943282e+04,2.157528e-22,2.539237e-24
1.000000e+05,2.296477e-22,1.705332e-24
1.258925e+05,2.439178e-22,1.142853e-24
1.584893e+05,2.584583e-22,7.640773e-25
1.995262e+05,2.731232e-22,5.094546e-25
2.511886e+05,2.877367e-22,3.386430e-25
3.162278e+05,3.020825e-22,2.243223e-25
3.981072e+05,3.159076e-22,1.480154e-25
5.011872e+05,3.289170e-22,9.723736e-26
6.309573e+05,3.407802e-22,6.356545e-26
7.943282e+05,3.511254e-22,4.132464e-26
1.000000e+06,3.595525e-22,2.669987e-26
1.258925e+06,3.656637e-22,1.713282e-26
1.584893e+06,3.690274e-22,1.090952e-26
1.995262e+06,3.692592e-22,6.887763e-27
2.511886e+06,3.660182e-22,4.307741e-27
3.162278e+06,3.590008e-22,2.665891e-27
3.981072e+06,3.480675e-22,1.630836e-27
5.011872e+06,3.332184e-22,9.850899e-28
6.309573e+06,3.145081e-22,5.866495e-28
7.943282e+06,2.923024e-22,3.440165e-28
1.000000e+07,2.670435e-22,1.983028e-28
