nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.223564e-24,9.523174e-18
1.258925e+00,1.321338e-24,6.488866e-18
1.584893e+00,1.426899e-24,4.421281e-18
1.995262e+00,1.540870e-24,3.012459e-18
2.511886e+00,1.663923e-24,2.052523e-18
3.162278e+00,1.796781e-24,1.398460e-18
3.981072e+00,1.940229e-24,9.528138e-19
5.011872e+00,2.095113e-24,6.491759e-19
6.309573e+00,2.262344e-24,4.422966e-19
7.943282e+00,2.442909e-24,3.013438e-19
1.000000e+01,2.637880e-24,2.053099e-19
1.258925e+01,2.845867e-24,1.397557e-19
1.584893e+01,3.072943e-24,9.521590e-20
1.995262e+01,3.318179e-24,6.487162e-20
2.511886e+01,3.582965e-24,4.419749e-20
3.162278e+01,3.868831e-24,3.011167e-20
3.981072e+01,4.177535e-24,2.051517e-20
5.011872e+01,4.510837e-24,1.397694e-20
6.309573e+01,4.870738e-24,9.522473e-21
7.943282e+01,5.259356e-24,6.487652e-21
1.000000e+02,5.678963e-24,4.420018e-21
1.258925e+02,6.131969e-24,3.011306e-21
1.584893e+02,6.621196e-24,2.051594e-21
1.995262e+02,7.149423e-24,1.397739e-21
2.511886e+02,7.719694e-24,9.522590e-22
3.162278e+02,8.335509e-24,6.487646e-22
3.981072e+02,9.000380e-24,4.419935e-22
5.011872e+02,9.718294e-24,3.011238e-22
6.309573e+02,1.049338e-23,2.051495e-22
7.943282e+02,1.133034e-23,1.397648e-22
1.000000e+03,1.223381e-23,9.521748e-23
1.258925e+03,1.320944e-23,6.486931e-23
1.584893e+03,1.426275e-23,4.419350e-23
1.995262e+03,1.539973e-23,3.010704e-23
2.511886e+03,1.662739e-23,2.051064e-23
3.162278e+03,1.795257e-23,1.397274e-23
3.981072e+03,1.938334e-23,9.518831e-24
5.011872e+03,2.092765e-23,6.484484e-24
6.309573e+03,2.259455e-23,4.417318e-24
7.943282e+03,2.439350e-23,3.009048e-24
1.000000e+04,2.633547e-23,2.049728e-24
1.258925e+04,2.843121e-23,1.396209e-24
1.584893e+04,3.069221e-23,9.510059e-25
1.995262e+04,3.313236e-23,6.477499e-25
2.511886e+04,3.576456e-23,4.411719e-25
3.162278e+04,3.860349e-23,3.004565e-25
3.981072e+04,4.166533e-23,2.046114e-25
5.011872e+04,4.496684e-23,1.393309e-25
6.309573e+04,4.852561e-23,9.486937e-26
7.943282e+04,5.236107e-23,6.458974e-26
1.000000e+05,5.649312e-23,4.396940e-26
1.258925e+05,6.094286e-23,2.992801e-26
1.584893e+05,6.573303e-23,2.036754e-26
1.995262e+05,7.087653e-23,1.385662e-26
2.511886e+05,7.630455e-23,9.412510e-27
3.162278e+05,8.176257e-23,6.363698e-27
3.981072e+05,8.669096e-23,4.257247e-27
5.011872e+05,9.034344e-23,2.799314e-27
6.309573e+05,9.217604e-23,1.802093e-27
7.943282e+05,9.208597e-23,1.135948e-27
1.000000e+06,9.033226e-23,7.030795e-28
1.258925e+06,1.282412e-22,6.297708e-28
1.584893e+06,1.377947e-22,4.269603e-28
1.995262e+06,1.479470e-22,2.892418e-28
2.511886e+06,1.587083e-22,1.957738e-28
3.162278e+06,1.700817e-22,1.323770e-28
3.981072e+06,1.820611e-22,8.940712e-29
5.011872e+06,1.946275e-22,6.030582e-29
6.309573e+06,2.077481e-22,4.061552e-29
7.943282e+06,2.213745e-22,2.730754e-29
1.000000e+07,2.354328e-22,1.832408e-29
