nu/nu_c,j_nu,alpha_nu
1.000000e+00,3.500146e-23,4.358357e-14
1.258925e+00,3.794803e-23,2.981439e-14
1.584893e+00,4.111071e-23,2.037941e-14
1.995262e+00,4.450485e-23,1.392015e-14
2.511886e+00,4.814903e-23,9.502201e-15
3.162278e+00,5.206538e-23,6.483145e-15
3.981072e+00,5.627355e-23,4.421208e-15
5.011872e+00,6.079658e-23,3.013809e-15
6.309573e+00,6.565744e-23,2.053622e-15
7.943282e+00,7.088031e-23,1.398821e-15
1.000000e+01,7.648963e-23,9.524434e-16
1.258925e+01,8.249847e-23,6.481605e-16
1.584893e+01,8.895906e-23,4.409881e-16
1.995262e+01,9.588532e-23,2.999085e-16
2.511886e+01,1.033036e-22,2.038695e-16
3.162278e+01,1.112371e-22,1.385117e-16
3.981072e+01,1.197120e-22,9.405336e-17
5.011872e+01,1.287516e-22,6.382476e-17
6.309573e+01,1.383742e-22,4.328045e-17
7.943282e+01,1.485954e-22,2.932526e-17
1.000000e+02,1.594247e-22,1.985145e-17
1.258925e+02,1.708648e-22,1.342422e-17
1.584893e+02,1.829060e-22,9.067022e-18
1.995262e+02,1.955353e-22,6.115922e-18
2.511886e+02,2.087138e-22,4.118961e-18
3.162278e+02,2.223890e-22,2.769173e-18
3.981072e+02,2.364915e-22,1.858028e-18
5.011872e+02,2.509219e-22,1.243871e-18
6.309573e+02,2.655536e-22,8.305941e-19
7.943282e+02,2.802270e-22,5.530273e-19
1.000000e+03,2.947484e-22,3.670186e-19
1.258925e+03,3.088800e-22,2.426758e-19
1.584893e+03,3.223538e-22,1.597973e-19
1.995262e+03,3.348526e-22,1.047346e-19
2.511886e+03,3.460277e-22,6.828849e-20
3.162278e+03,3.554911e-22,4.426550e-20
3.981072e+03,3.628420e-22,2.850718e-20
5.011872e+03,3.676619e-22,1.822574e-20
6.309573e+03,3.695437e-22,1.155853e-20
7.943282e+03,3.681184e-22,7.264808e-21
1.000000e+04,3.630604e-22,4.520803e-21
1.258925e+04,3.541558e-22,2.782473e-21
1.584893e+04,3.412892e-22,1.691840e-21
1.995262e+04,3.245151e-22,1.015013e-21
2.511886e+04,3.040427e-22,6.000277e-22
3.162278e+04,2.802815e-22,3.490045e-22
3.981072e+04,2.538531e-22,1.994432e-22
5.011872e+04,2.254242e-22,1.117474e-22
6.309573e+04,1.959673e-22,6.129433e-23
7.943282e+04,1.664284e-22,3.284461e-23
1.000000e+05,1.378057e-22,1.715946e-23
1.258925e+05,1.109370e-22,8.715917e-24
1.584893e+05,8.670336e-23,4.298061e-24
1.995262e+05,6.554505e-23,2.050107e-24
2.511886e+05,4.780992e-23,9.435276e-25
3.162278e+05,3.354240e-23,4.176676e-25
3.981072e+05,2.255905e-23,1.772383e-25
5.011872e+05,1.449174e-23,7.183850e-26
6.309573e+05,8.859471e-24,2.771050e-26
7.943282e+05,5.126403e-24,1.011695e-26
1.000000e+06,2.804059e-24,3.491594e-27
1.258925e+06,1.438260e-24,1.129988e-27
1.584893e+06,6.888950e-25,3.414992e-28
1.995262e+06,3.062966e-25,9.580293e-29
2.511886e+06,1.256503e-25,2.479707e-29
3.162278e+06,4.726906e-26,5.885910e-30
3.981072e+06,1.616807e-26,1.270266e-30
5.011872e+06,5.001124e-27,2.479158e-31
6.309573e+06,1.383746e-27,4.328056e-32
7.943282e+06,3.397899e-28,6.705746e-33
1.000000e+07,7.334751e-29,9.133180e-34
