nu/nu_c,j_nu,alpha_nu
1.000000e+00,7.105882e-23,2.733069e-13
1.258925e+00,7.729808e-23,1.875864e-13
1.584893e+00,8.398983e-23,1.286054e-13
1.995262e+00,9.114635e-23,8.805862e-14
2.511886e+00,9.877328e-23,6.021047e-14
3.162278e+00,1.068933e-22,4.111335e-14
3.981072e+00,1.155161e-22,2.803336e-14
5.011872e+00,1.246717e-22,1.908977e-14
6.309573e+00,1.343822e-22,1.298297e-14
7.943282e+00,1.446666e-22,8.818622e-15
1.000000e+01,1.555384e-22,5.982328e-15
1.258925e+01,1.669994e-22,4.052729e-15
1.584893e+01,1.790577e-22,2.741736e-15
1.995262e+01,1.916916e-22,1.851977e-15
2.511886e+01,2.048769e-22,1.248894e-15
3.162278e+01,2.185595e-22,8.406248e-16
3.981072e+01,2.326809e-22,5.646681e-16
5.011872e+01,2.471463e-22,3.784310e-16
6.309573e+01,2.618334e-22,2.529634e-16
7.943282e+01,2.765961e-22,1.686082e-16
1.000000e+02,2.912428e-22,1.120180e-16
1.258925e+02,3.055477e-22,7.415008e-17
1.584893e+02,3.192474e-22,4.888324e-17
1.995262e+02,3.320412e-22,3.207928e-17
2.511886e+02,3.435678e-22,2.094330e-17
3.162278e+02,3.534686e-22,1.359513e-17
3.981072e+02,3.613332e-22,8.768806e-18
5.011872e+02,3.667486e-22,5.615663e-18
6.309573e+02,3.693052e-22,3.567943e-18
7.943282e+02,3.686147e-22,2.247011e-18
1.000000e+03,3.643573e-22,1.401393e-18
1.258925e+03,3.562771e-22,8.646105e-19
1.584893e+03,3.442503e-22,5.271168e-19
1.995262e+03,3.282723e-22,3.171515e-19
2.511886e+03,3.085443e-22,1.880833e-19
3.162278e+03,2.854236e-22,1.097798e-19
3.981072e+03,2.594592e-22,6.296534e-20
5.011872e+03,2.313831e-22,3.542943e-20
6.309573e+03,2.020721e-22,1.952265e-20
7.943282e+03,1.724698e-22,1.051346e-20
1.000000e+04,1.435725e-22,5.522093e-21
1.258925e+04,1.162930e-22,2.822190e-21
1.584893e+04,9.143958e-23,1.400125e-21
1.995262e+04,6.960238e-23,6.724449e-22
2.511886e+04,5.115123e-23,3.118090e-22
3.162278e+04,3.618704e-23,1.391828e-22
3.981072e+04,2.455183e-23,5.958219e-23
5.011872e+04,1.592390e-23,2.438271e-23
6.309573e+04,9.835189e-24,9.502005e-24
7.943282e+04,5.760251e-24,3.511349e-24
1.000000e+05,3.185404e-24,1.225172e-24
1.258925e+05,1.655112e-24,4.016613e-25
1.584893e+05,8.038954e-25,1.230926e-25
1.995262e+05,3.629346e-25,3.506396e-26
2.511886e+05,1.514205e-25,9.230328e-27
3.162278e+05,5.798639e-26,2.230276e-27
3.981072e+05,2.023951e-26,4.911709e-28
5.011872e+05,6.390161e-27,9.784629e-29
6.309573e+05,1.810555e-27,1.749220e-29
7.943282e+05,4.561101e-28,2.780368e-30
1.000000e+06,1.012541e-28,3.894442e-31
1.258925e+06,1.960263e-29,4.757151e-32
1.584893e+06,3.274526e-30,5.013962e-33
1.995262e+06,4.663645e-31,4.505656e-34
2.511886e+06,5.590756e-32,3.408027e-35
3.162278e+06,5.563620e-33,2.139883e-36
3.981072e+06,4.528214e-34,1.098903e-37
5.011872e+06,2.965482e-35,4.540753e-39
6.309573e+06,1.535739e-36,1.483713e-40
7.943282e+06,6.172027e-38,3.762360e-42
1.000000e+07,1.886218e-39,7.254781e-44
