nu/nu_c,j_nu,alpha_nu
1.000000e+00,4.448487e-23,8.067040e-14
1.258925e+00,4.829149e-23,5.525513e-14
1.584893e+00,5.237079e-23,3.780864e-14
1.995262e+00,5.673874e-23,2.584531e-14
2.511886e+00,6.141618e-23,1.765163e-14
3.162278e+00,6.643100e-23,1.204683e-14
3.981072e+00,7.180555e-23,8.215991e-15
5.011872e+00,7.756768e-23,5.599932e-15
6.309573e+00,8.374405e-23,3.814660e-15
7.943282e+00,9.036190e-23,2.597092e-15
1.000000e+01,9.744771e-23,1.767151e-15
1.258925e+01,1.050184e-22,1.201621e-15
1.584893e+01,1.131214e-22,8.166699e-16
1.995262e+01,1.217693e-22,5.546766e-16
2.511886e+01,1.309859e-22,3.764667e-16
3.162278e+01,1.407860e-22,2.553063e-16
3.981072e+01,1.511880e-22,1.729893e-16
5.011872e+01,1.621985e-22,1.170978e-16
6.309573e+01,1.738180e-22,7.917658e-17
7.943282e+01,1.860347e-22,5.346823e-17
1.000000e+02,1.988270e-22,3.605599e-17
1.258925e+02,2.121569e-22,2.427499e-17
1.584893e+02,2.259676e-22,1.631354e-17
1.995262e+02,2.401812e-22,1.094059e-17
2.511886e+02,2.546888e-22,7.320013e-18
3.162278e+02,2.693595e-22,4.884659e-18
3.981072e+02,2.840232e-22,3.249794e-18
5.011872e+02,2.984785e-22,2.154840e-18
6.309573e+02,3.124721e-22,1.423355e-18
7.943282e+02,3.257263e-22,9.361702e-19
1.000000e+03,3.379145e-22,6.127860e-19
1.258925e+03,3.486838e-22,3.989640e-19
1.584893e+03,3.576363e-22,2.581925e-19
1.995262e+03,3.643593e-22,1.659709e-19
2.511886e+03,3.684451e-22,1.058948e-19
3.162278e+03,3.694896e-22,6.700453e-20
3.981072e+03,3.671396e-22,4.200812e-20
5.011872e+03,3.610762e-22,2.606759e-20
6.309573e+03,3.511281e-22,1.599438e-20
7.943282e+03,3.372161e-22,9.691929e-21
1.000000e+04,3.194333e-22,5.792714e-21
1.258925e+04,2.980490e-22,3.410277e-21
1.584893e+04,2.735016e-22,1.974522e-21
1.995262e+04,2.464497e-22,1.122613e-21
2.511886e+04,2.176750e-22,6.256198e-22
3.162278e+04,1.881031e-22,3.411127e-22
3.981072e+04,1.587167e-22,1.816036e-22
5.011872e+04,1.304838e-22,9.420163e-23
6.309573e+04,1.042579e-22,4.749097e-23
7.943282e+04,8.077236e-23,2.321479e-23
1.000000e+05,6.049935e-23,1.097116e-23
1.258925e+05,4.369093e-23,4.999117e-24
1.584893e+05,3.032090e-23,2.188991e-24
1.995262e+05,2.015037e-23,9.178779e-25
2.511886e+05,1.278112e-23,3.673422e-25
3.162278e+05,7.704224e-24,1.397111e-25
3.981072e+05,4.395358e-24,5.029169e-26
5.011872e+05,2.362236e-24,1.705396e-26
6.309573e+05,1.190403e-24,5.422456e-27
7.943282e+05,5.592682e-25,1.607393e-27
1.000000e+06,2.435865e-25,4.417282e-28
1.258925e+06,9.771990e-26,1.118111e-28
1.584893e+06,3.587229e-26,2.589769e-29
1.995262e+06,1.195616e-26,5.446200e-30
2.511886e+06,3.590543e-27,1.031958e-30
3.162278e+06,9.635411e-28,1.747319e-31
3.981072e+06,2.288545e-28,2.618553e-32
5.011872e+06,4.771503e-29,3.444746e-33
6.309573e+06,8.628359e-30,3.930340e-34
7.943282e+06,1.338948e-30,3.848271e-35
1.000000e+07,1.761350e-31,3.194094e-36
