nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.311350e-23,3.629896e-15
1.258925e+00,1.417863e-23,2.476336e-15
1.584893e+00,1.532696e-23,1.689007e-15
1.995262e+00,1.656517e-23,1.151785e-15
2.511886e+00,1.790053e-23,7.853104e-16
3.162278e+00,1.934087e-23,5.353669e-16
3.981072e+00,2.089453e-23,3.649288e-16
5.011872e+00,2.257054e-23,2.487238e-16
6.309573e+00,2.437857e-23,1.695054e-16
7.943282e+00,2.632901e-23,1.155074e-16
1.000000e+01,2.843308e-23,7.870444e-17
1.258925e+01,3.068720e-23,5.359604e-17
1.584893e+01,3.313468e-23,3.651390e-17
1.995262e+01,3.577484e-23,2.487443e-17
2.511886e+01,3.862169e-23,1.694364e-17
3.162278e+01,4.169166e-23,1.154050e-17
3.981072e+01,4.500139e-23,7.859616e-18
5.011872e+01,4.856788e-23,5.352104e-18
6.309573e+01,5.241176e-23,3.644217e-18
7.943282e+01,5.655229e-23,2.480993e-18
1.000000e+02,6.101431e-23,1.688912e-18
1.258925e+02,6.581017e-23,1.149393e-18
1.584893e+02,7.097353e-23,7.821171e-19
1.995262e+02,7.652500e-23,5.320822e-19
2.511886e+02,8.249040e-23,3.618919e-19
3.162278e+02,8.889424e-23,2.460645e-19
3.981072e+02,9.576474e-23,1.672557e-19
5.011872e+02,1.031321e-22,1.136499e-19
6.309573e+02,1.110051e-22,7.718238e-20
7.943282e+02,1.194263e-22,5.239324e-20
1.000000e+03,1.284094e-22,3.554449e-20
1.258925e+03,1.379774e-22,2.409813e-20
1.584893e+03,1.481442e-22,1.632526e-20
1.995262e+03,1.589166e-22,1.104956e-20
2.511886e+03,1.703077e-22,7.471532e-21
3.162278e+03,1.823076e-22,5.046383e-21
3.981072e+03,1.948797e-22,3.403627e-21
5.011872e+03,2.080112e-22,2.292251e-21
6.309573e+03,2.216487e-22,1.541134e-21
7.943282e+03,2.357170e-22,1.034109e-21
1.000000e+04,2.501217e-22,6.923518e-22
1.258925e+04,2.647341e-22,4.623654e-22
1.584893e+04,2.794006e-22,3.078951e-22
1.995262e+04,2.939278e-22,2.043695e-22
2.511886e+04,3.080846e-22,1.351591e-22
3.162278e+04,3.216043e-22,8.902199e-23
3.981072e+04,3.341622e-22,5.836234e-23
5.011872e+04,3.454208e-22,3.806483e-23
6.309573e+04,3.550042e-22,2.468363e-23
7.943282e+04,3.624820e-22,1.590237e-23
1.000000e+05,3.674609e-22,1.017154e-23
1.258925e+05,3.695283e-22,6.453913e-24
1.584893e+05,3.683048e-22,4.058661e-24
1.995262e+05,3.634796e-22,2.527292e-24
2.511886e+05,3.548154e-22,1.556603e-24
3.162278e+05,3.421917e-22,9.472070e-25
3.981072e+05,3.256499e-22,5.687565e-25
5.011872e+05,3.053847e-22,3.365291e-25
6.309573e+05,2.818063e-22,1.959413e-25
7.943282e+05,2.555147e-22,1.120963e-25
1.000000e+06,2.271890e-22,6.288725e-26
1.258925e+06,1.977953e-22,3.454549e-26
1.584893e+06,1.682257e-22,1.853821e-26
1.995262e+06,1.395255e-22,9.701281e-27
2.511886e+06,1.125581e-22,4.938011e-27
3.162278e+06,8.810283e-23,2.438739e-27
3.981072e+06,6.675790e-23,1.165945e-27
5.011872e+06,4.881324e-23,5.379143e-28
6.309573e+06,3.433295e-23,2.387187e-28
7.943282e+06,2.315377e-23,1.015774e-28
1.000000e+07,1.491851e-23,4.129531e-29
