nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.937915e-24,8.523595e-17
1.258925e+00,3.173234e-24,5.808790e-17
1.584893e+00,3.427246e-24,3.958484e-17
1.995262e+00,3.701454e-24,2.697465e-17
2.511886e+00,3.997477e-24,1.838102e-17
3.162278e+00,4.317057e-24,1.252482e-17
3.981072e+00,4.662073e-24,8.534196e-18
5.011872e+00,5.034555e-24,5.814932e-18
6.309573e+00,5.436708e-24,3.962046e-18
7.943282e+00,5.870878e-24,2.699521e-18
1.000000e+01,6.339632e-24,1.839279e-18
1.258925e+01,6.840141e-24,1.252128e-18
1.584893e+01,7.386218e-24,8.531113e-19
1.995262e+01,7.975747e-24,5.812393e-19
2.511886e+01,8.612274e-24,3.960057e-19
3.162278e+01,9.299584e-24,2.698032e-19
3.981072e+01,1.004159e-23,1.838172e-19
5.011872e+01,1.084264e-23,1.252329e-19
6.309573e+01,1.170776e-23,8.532129e-20
7.943282e+01,1.264151e-23,5.812762e-20
1.000000e+02,1.364974e-23,3.960117e-20
1.258925e+02,1.473830e-23,2.697932e-20
1.584893e+02,1.591340e-23,1.838004e-20
1.995262e+02,1.718200e-23,1.252152e-20
2.511886e+02,1.855155e-23,8.530287e-21
3.162278e+02,2.002992e-23,5.811160e-21
3.981072e+02,2.162560e-23,3.958692e-21
5.011872e+02,2.334825e-23,2.696733e-21
6.309573e+02,2.520701e-23,1.836982e-21
7.943282e+02,2.721347e-23,1.251317e-21
1.000000e+03,2.937882e-23,8.523500e-22
1.258925e+03,3.171499e-23,5.805614e-22
1.584893e+03,3.423558e-23,3.954224e-22
1.995262e+03,3.695055e-23,2.692803e-22
2.511886e+03,3.988746e-23,1.834087e-22
3.162278e+03,4.304964e-23,1.248973e-22
3.981072e+03,4.645917e-23,8.504623e-23
5.011872e+03,5.013333e-23,5.790421e-23
6.309573e+03,5.409413e-23,3.942155e-23
7.943282e+03,5.835963e-23,2.683466e-23
1.000000e+04,6.295242e-23,1.826401e-23
1.258925e+04,6.789553e-23,1.242867e-23
1.584893e+04,7.321244e-23,8.456068e-24
1.995262e+04,7.892816e-23,5.751956e-24
2.511886e+04,8.506758e-23,3.911539e-24
3.162278e+04,9.165756e-23,2.659205e-24
3.981072e+04,9.872432e-23,1.807206e-24
5.011872e+04,1.062923e-22,1.227681e-24
6.309573e+04,1.143881e-22,8.336132e-25
7.943282e+04,1.230348e-22,5.657332e-25
1.000000e+05,1.322542e-22,3.837010e-25
1.258925e+05,1.420643e-22,2.600569e-25
1.584893e+05,1.524780e-22,1.761127e-25
1.995262e+05,1.635029e-22,1.191541e-25
2.511886e+05,1.751383e-22,8.053130e-26
3.162278e+05,1.873727e-22,5.436131e-26
3.981072e+05,2.001806e-22,3.664422e-26
5.011872e+05,2.135269e-22,2.466244e-26
6.309573e+05,2.273389e-22,1.656752e-26
7.943282e+05,2.414419e-22,1.110187e-26
1.000000e+06,2.552636e-22,7.405808e-27
1.258925e+06,2.707292e-22,4.955856e-27
1.584893e+06,2.853610e-22,3.295932e-27
1.995262e+06,2.997684e-22,2.184587e-27
2.511886e+06,3.136988e-22,1.442435e-27
3.162278e+06,3.268623e-22,9.483059e-28
3.981072e+06,3.389336e-22,6.204378e-28
5.011872e+06,3.495563e-22,4.037390e-28
6.309573e+06,3.583267e-22,2.611336e-28
7.943282e+06,3.648383e-22,1.677583e-28
1.000000e+07,3.686935e-22,1.069668e-28
