nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.149226e-23,1.261793e-14
1.258925e+00,2.326014e-23,8.616251e-15
1.584893e+00,2.516325e-23,5.881293e-15
1.995262e+00,2.721235e-23,4.013027e-15
2.511886e+00,2.941936e-23,2.737406e-15
3.162278e+00,3.179724e-23,1.866790e-15
3.981072e+00,3.435933e-23,1.272772e-15
5.011872e+00,3.712021e-23,8.675939e-16
6.309573e+00,4.009537e-23,5.912896e-16
7.943282e+00,4.330121e-23,4.029082e-16
1.000000e+01,4.675503e-23,2.744950e-16
1.258925e+01,5.045897e-23,1.869151e-16
1.584893e+01,5.446653e-23,1.273022e-16
1.995262e+01,5.878104e-23,8.668487e-17
2.511886e+01,6.342456e-23,5.901514e-17
3.162278e+01,6.842084e-23,4.016931e-17
3.981072e+01,7.379323e-23,2.733522e-17
5.011872e+01,7.956674e-23,1.859677e-17
6.309573e+01,8.576745e-23,1.264819e-17
7.943282e+01,9.242073e-23,8.599544e-18
1.000000e+02,9.955295e-23,5.844672e-18
1.258925e+02,1.071902e-22,3.970644e-18
1.584893e+02,1.153574e-22,2.696196e-18
1.995262e+02,1.240778e-22,1.829785e-18
2.511886e+02,1.333727e-22,1.241003e-18
3.162278e+02,1.432603e-22,8.410695e-19
3.981072e+02,1.537528e-22,5.695463e-19
5.011872e+02,1.648530e-22,3.853035e-19
6.309573e+02,1.765689e-22,2.603876e-19
7.943282e+02,1.888787e-22,1.757474e-19
1.000000e+03,2.017592e-22,1.184512e-19
1.258925e+03,2.151694e-22,7.970518e-20
1.584893e+03,2.290463e-22,5.353394e-20
1.995262e+03,2.433075e-22,3.588076e-20
2.511886e+03,2.578424e-22,2.399166e-20
3.162278e+03,2.725071e-22,1.599867e-20
3.981072e+03,2.871288e-22,1.063611e-20
5.011872e+03,3.014920e-22,7.046635e-21
6.309573e+03,3.153455e-22,4.650425e-21
7.943282e+03,3.283931e-22,3.055625e-21
1.000000e+04,3.403196e-22,1.997988e-21
1.258925e+04,3.507310e-22,1.299212e-21
1.584893e+04,3.592496e-22,8.396578e-22
1.995262e+04,3.654595e-22,5.389460e-22
2.511886e+04,3.689432e-22,3.432935e-22
3.162278e+04,3.693151e-22,2.168219e-22
3.981072e+04,3.662125e-22,1.356561e-22
5.011872e+04,3.593736e-22,8.399476e-23
6.309573e+04,3.486224e-22,5.141162e-23
7.943282e+04,3.338967e-22,3.106835e-23
1.000000e+05,3.153474e-22,1.851379e-23
1.258925e+05,2.932702e-22,1.086361e-23
1.584893e+05,2.681467e-22,6.267272e-24
1.995262e+05,2.406740e-22,3.549238e-24
2.511886e+05,2.116649e-22,1.969495e-24
3.162278e+05,1.820519e-22,1.068812e-24
3.981072e+05,1.528344e-22,5.661444e-25
5.011872e+05,1.249161e-22,2.919608e-25
6.309573e+05,9.921178e-23,1.463084e-25
7.943282e+05,7.637124e-23,7.106174e-26
1.000000e+06,5.677381e-23,3.333144e-26
1.258925e+06,4.069718e-23,1.507545e-26
1.584893e+06,2.800546e-23,6.545588e-27
1.995262e+06,1.844557e-23,2.720184e-27
2.511886e+06,1.157594e-23,1.077115e-27
3.162278e+06,6.908080e-24,4.055677e-28
3.981072e+06,3.896285e-24,1.443301e-28
5.011872e+06,2.069297e-24,4.836474e-29
6.309573e+06,1.028701e-24,1.517034e-29
7.943282e+06,4.761639e-25,4.430599e-30
1.000000e+07,2.040472e-25,1.197944e-30
