nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.386747e-24,1.302521e-17
1.258925e+00,1.497585e-24,8.875223e-18
1.584893e+00,1.617250e-24,6.047345e-18
1.995262e+00,1.746448e-24,4.120438e-18
2.511886e+00,1.885936e-24,2.807466e-18
3.162278e+00,2.036539e-24,1.912848e-18
3.981072e+00,2.199145e-24,1.303292e-18
5.011872e+00,2.374711e-24,8.879704e-19
6.309573e+00,2.564273e-24,6.049952e-19
7.943282e+00,2.768948e-24,4.121948e-19
1.000000e+01,2.989955e-24,2.808357e-19
1.258925e+01,3.225728e-24,1.911681e-19
1.584893e+01,3.483141e-24,1.302443e-19
1.995262e+01,3.761007e-24,8.873436e-20
2.511886e+01,4.061213e-24,6.045655e-20
3.162278e+01,4.385278e-24,4.118934e-20
3.981072e+01,4.735170e-24,2.806230e-20
5.011872e+01,5.113010e-24,1.911896e-20
6.309573e+01,5.520894e-24,1.302558e-20
7.943282e+01,5.961447e-24,8.874408e-21
1.000000e+02,6.437041e-24,6.046081e-21
1.258925e+02,6.950536e-24,4.119135e-21
1.584893e+02,7.505027e-24,2.806338e-21
1.995262e+02,8.103691e-24,1.911924e-21
2.511886e+02,8.750124e-24,1.302572e-21
3.162278e+02,9.448059e-24,8.874221e-22
3.981072e+02,1.020171e-23,6.045894e-22
5.011872e+02,1.101524e-23,4.118904e-22
6.309573e+02,1.189388e-23,2.806153e-22
7.943282e+02,1.284234e-23,1.911754e-22
1.000000e+03,1.386629e-23,1.302411e-22
1.258925e+03,1.497143e-23,8.872599e-23
1.584893e+03,1.616536e-23,6.044675e-23
1.995262e+03,1.745401e-23,4.117966e-23
2.511886e+03,1.884486e-23,2.805309e-23
3.162278e+03,2.034651e-23,1.911074e-23
3.981072e+03,2.196723e-23,1.301856e-23
5.011872e+03,2.371685e-23,8.868386e-24
6.309573e+03,2.560497e-23,6.041043e-24
7.943282e+03,2.764279e-23,4.114997e-24
1.000000e+04,2.984173e-23,2.802926e-24
1.258925e+04,3.221456e-23,1.909149e-24
1.584893e+04,3.477425e-23,1.300306e-24
1.995262e+04,3.753570e-23,8.855889e-25
2.511886e+04,4.051370e-23,6.031003e-25
3.162278e+04,4.372511e-23,4.106942e-25
3.981072e+04,4.718733e-23,2.796489e-25
5.011872e+04,5.091878e-23,1.903994e-25
6.309573e+04,5.493940e-23,1.296199e-25
7.943282e+04,5.927000e-23,8.823128e-26
1.000000e+05,6.393245e-23,6.004945e-26
1.258925e+05,6.895055e-23,4.086254e-26
1.584893e+05,7.434578e-23,2.779995e-26
1.995262e+05,8.014554e-23,1.890893e-26
2.511886e+05,8.634994e-23,1.285434e-26
3.162278e+05,9.284531e-23,8.720625e-27
3.981072e+05,9.926302e-23,5.882679e-27
5.011872e+05,1.048540e-22,3.920783e-27
6.309573e+05,1.087189e-22,2.565030e-27
7.943282e+05,1.102733e-22,1.641565e-27
1.000000e+06,1.095189e-22,1.028673e-27
1.258925e+06,1.441477e-22,8.542707e-28
1.584893e+06,1.546846e-22,5.784086e-28
1.995262e+06,1.658331e-22,3.912540e-28
2.511886e+06,1.775906e-22,2.643673e-28
3.162278e+06,1.899441e-22,1.784077e-28
3.981072e+06,2.028667e-22,1.202260e-28
5.011872e+06,2.163143e-22,8.088592e-29
6.309573e+06,2.302230e-22,5.431709e-29
7.943282e+06,2.445094e-22,3.639848e-29
1.000000e+07,2.590566e-22,2.433226e-29
