nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.679097e-22,2.905156e-12
1.258925e+00,1.830795e-22,1.998636e-12
1.584893e+00,1.984787e-22,1.367123e-12
1.995262e+00,2.137531e-22,9.289797e-13
2.511886e+00,2.295164e-22,6.293722e-13
3.162278e+00,2.453166e-22,4.244444e-13
3.981072e+00,2.614882e-22,2.854604e-13
5.011872e+00,2.777174e-22,1.912920e-13
6.309573e+00,2.937539e-22,1.276666e-13
7.943282e+00,3.092533e-22,8.480239e-14
1.000000e+01,3.237807e-22,5.602021e-14
1.258925e+01,3.369463e-22,3.678363e-14
1.584893e+01,3.482573e-22,2.398800e-14
1.995262e+01,3.572622e-22,1.552676e-14
2.511886e+01,3.636128e-22,9.970867e-15
3.162278e+01,3.668867e-22,6.347836e-15
3.981072e+01,3.667720e-22,4.003962e-15
5.011872e+01,3.629640e-22,2.500100e-15
6.309573e+01,3.552476e-22,1.543920e-15
7.943282e+01,3.434544e-22,9.418092e-16
1.000000e+02,3.276465e-22,5.668907e-16
1.258925e+02,3.080023e-22,3.362387e-16
1.584893e+02,2.848996e-22,1.962391e-16
1.995262e+02,2.589077e-22,1.125224e-16
2.511886e+02,2.307614e-22,6.327863e-17
3.162278e+02,2.013825e-22,3.484300e-17
3.981072e+02,1.717637e-22,1.875103e-17
5.011872e+02,1.427971e-22,9.835881e-18
6.309573e+02,1.155132e-22,5.020249e-18
7.943282e+02,9.069582e-23,2.487030e-18
1.000000e+03,6.891899e-23,1.192429e-18
1.258925e+03,5.055280e-23,5.518728e-19
1.584893e+03,3.566815e-23,2.456826e-19
1.995262e+03,2.414851e-23,1.049504e-19
2.511886e+03,1.561428e-23,4.281695e-20
3.162278e+03,9.618021e-24,1.664100e-20
3.981072e+03,5.614781e-24,6.129522e-21
5.011872e+03,3.093598e-24,2.130873e-21
6.309573e+03,1.601004e-24,6.958029e-22
7.943282e+03,7.742079e-25,2.123007e-22
1.000000e+04,3.478884e-25,6.019130e-23
1.258925e+04,1.443835e-25,1.576200e-23
1.584893e+04,5.498424e-26,3.787320e-24
1.995262e+04,1.907861e-26,8.291644e-25
2.511886e+04,5.985787e-27,1.641402e-25
3.162278e+04,1.684246e-27,2.914066e-26
3.981072e+04,4.213371e-28,4.599636e-27
5.011872e+04,9.281040e-29,6.392790e-28
6.309573e+04,1.782174e-29,7.745400e-29
7.943282e+04,2.950115e-30,8.089705e-30
1.000000e+05,4.160084e-31,7.197735e-31
1.258925e+05,4.933578e-32,5.385869e-32
1.584893e+05,4.852365e-33,3.342314e-33
1.995262e+05,3.899105e-34,1.694567e-34
2.511886e+05,2.518464e-35,6.906048e-36
3.162278e+05,1.284942e-36,2.223194e-37
3.981072e+05,5.081263e-38,5.547094e-39
5.011872e+05,1.526065e-39,1.051155e-40
6.309573e+05,3.404994e-41,1.479824e-42
7.943282e+05,5.511624e-43,1.511379e-44
1.000000e+06,6.308399e-45,1.091473e-46
1.258925e+06,4.965973e-47,5.421233e-49
1.584893e+06,2.609433e-49,1.797380e-51
1.995262e+06,8.861785e-52,3.851368e-54
2.511886e+06,1.878402e-54,5.150889e-57
3.162278e+06,2.393317e-57,4.140893e-60
3.981072e+06,1.759974e-60,1.921321e-63
5.011872e+06,7.149060e-64,4.924280e-67
6.309573e+06,1.529860e-67,6.648833e-71
7.943282e+06,1.638691e-71,4.493563e-75
1.000000e+07,8.313740e-76,1.438435e-79
