nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.147142e-22,6.529088e-12
1.258925e+00,2.343794e-22,4.496880e-12
1.584893e+00,2.540297e-22,3.075221e-12
1.995262e+00,2.718097e-22,2.076140e-12
2.511886e+00,2.894572e-22,1.395006e-12
3.162278e+00,3.052490e-22,9.282094e-13
3.981072e+00,3.197097e-22,6.134054e-13
5.011872e+00,3.323885e-22,4.023812e-13
6.309573e+00,3.431480e-22,2.621038e-13
7.943282e+00,3.517441e-22,1.695191e-13
1.000000e+01,3.577605e-22,1.087888e-13
1.258925e+01,3.606074e-22,6.918730e-14
1.584893e+01,3.596167e-22,4.353430e-14
1.995262e+01,3.543113e-22,2.706305e-14
2.511886e+01,3.444193e-22,1.659890e-14
3.162278e+01,3.300270e-22,1.003555e-14
3.981072e+01,3.114617e-22,5.975805e-15
5.011872e+01,2.891700e-22,3.500620e-15
6.309573e+01,2.637567e-22,2.014630e-15
7.943282e+01,2.359575e-22,1.137170e-15
1.000000e+02,2.066669e-22,6.284385e-16
1.258925e+02,1.769012e-22,3.394084e-16
1.584893e+02,1.476479e-22,1.787389e-16
1.995262e+02,1.199033e-22,9.158467e-17
2.511886e+02,9.452507e-23,4.555528e-17
3.162278e+02,7.213382e-23,2.193465e-17
3.981072e+02,5.314517e-23,1.019660e-17
5.011872e+02,3.767979e-23,4.561421e-18
6.309573e+02,2.563535e-23,1.958083e-18
7.943282e+02,1.666767e-23,8.032792e-19
1.000000e+03,1.031905e-23,3.137846e-19
1.258925e+03,6.062918e-24,1.163251e-19
1.584893e+03,3.362140e-24,4.070123e-20
1.995262e+03,1.752207e-24,1.338373e-20
2.511886e+03,8.536583e-25,4.114109e-21
3.162278e+03,3.866826e-25,1.175835e-21
3.981072e+03,1.618734e-25,3.105756e-22
5.011872e+03,6.222244e-26,7.532494e-23
6.309573e+03,2.180711e-26,1.665674e-23
7.943282e+03,6.916396e-27,3.333279e-24
1.000000e+04,1.969031e-27,5.987483e-25
1.258925e+04,4.988308e-28,9.570729e-26
1.584893e+04,1.113921e-28,1.348485e-26
1.995262e+04,2.170576e-29,1.657932e-27
2.511886e+04,3.650394e-30,1.759266e-28
3.162278e+04,5.236409e-31,1.592301e-29
3.981072e+04,6.325413e-32,1.213614e-30
5.011872e+04,6.346164e-33,7.682509e-32
6.309573e+04,5.210003e-34,3.979511e-33
7.943282e+04,3.444067e-35,1.659829e-34
1.000000e+05,1.801605e-36,5.478370e-36
1.258925e+05,7.319404e-38,1.404324e-37
1.584893e+05,2.263224e-39,2.739803e-39
1.995262e+05,5.211093e-41,3.980344e-41
2.511886e+05,8.726450e-43,4.205613e-43
3.162278e+05,1.036089e-44,3.150569e-45
3.981072e+05,8.485373e-47,1.628031e-47
5.011872e+05,4.653407e-49,5.633299e-50
6.309573e+05,1.654945e-51,1.264082e-52
7.943282e+05,3.687103e-54,1.776958e-55
1.000000e+06,4.957430e-57,1.507469e-58
1.258925e+06,3.863531e-60,7.412696e-62
1.584893e+06,1.670937e-63,2.022795e-65
1.995262e+06,3.826199e-67,2.922532e-69
2.511886e+06,4.409227e-71,2.124977e-73
3.162278e+06,2.420714e-75,7.360974e-78
3.981072e+06,5.967755e-80,1.144993e-82
5.011872e+06,6.197491e-85,7.502529e-88
6.309573e+06,2.530441e-90,1.932805e-93
7.943282e+06,3.770514e-96,1.817156e-99
1.000000e+07,1.891895e-102,5.752926e-106
