nu/nu_c,j_nu,j_nu_fit,alpha_nu,alpha_nu_fit
7.943282e+07,4.030180e-24,4.089104e-24,2.554067e-32,2.451655e-32
1.000000e+08,3.407669e-24,3.460508e-24,1.219305e-32,1.169747e-32
1.258925e+08,2.880182e-24,2.926752e-24,5.806815e-33,5.576222e-33
1.584893e+08,2.431729e-24,2.473968e-24,2.770649e-33,2.656095e-33
1.995262e+08,2.047700e-24,2.090204e-24,1.317116e-33,1.264266e-33
2.511886e+08,1.718210e-24,1.765194e-24,6.269971e-34,6.013912e-34
3.162278e+08,1.469277e-24,1.490134e-24,2.985819e-34,2.859094e-34
3.981072e+08,1.239201e-24,1.257493e-24,1.417454e-34,1.358559e-34
5.011872e+08,1.046026e-24,1.060837e-24,6.742873e-35,6.452540e-35
6.309573e+08,8.816548e-25,8.946836e-25,3.197719e-35,3.063417e-35
7.943282e+08,7.434011e-25,7.543642e-25,1.520225e-35,1.453862e-35
1.000000e+09,6.271153e-25,6.359089e-25,7.215569e-36,6.897620e-36
