nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.018664e-24,3.332343e-17
1.258925e+00,2.180148e-24,2.270762e-17
1.584893e+00,2.354483e-24,1.547323e-17
1.995262e+00,2.542692e-24,1.054337e-17
2.511886e+00,2.745887e-24,7.184033e-18
3.162278e+00,2.965262e-24,4.894954e-18
3.981072e+00,3.202115e-24,3.335205e-18
5.011872e+00,3.457836e-24,2.272427e-18
6.309573e+00,3.733933e-24,1.548289e-18
7.943282e+00,4.032031e-24,1.054896e-18
1.000000e+01,4.353871e-24,7.187224e-19
1.258925e+01,4.697391e-24,4.892630e-19
1.584893e+01,5.072320e-24,3.333437e-19
1.995262e+01,5.477097e-24,2.271099e-19
2.511886e+01,5.914237e-24,1.547335e-19
3.162278e+01,6.386183e-24,1.054210e-19
3.981072e+01,6.895753e-24,7.182363e-20
5.011872e+01,7.445964e-24,4.893353e-20
6.309573e+01,8.039994e-24,3.333814e-20
7.943282e+01,8.681387e-24,2.271301e-20
1.000000e+02,9.373978e-24,1.547425e-20
1.258925e+02,1.012169e-23,1.054238e-20
1.584893e+02,1.092899e-23,7.182333e-21
1.995262e+02,1.180075e-23,4.893225e-21
2.511886e+02,1.274186e-23,3.333639e-21
3.162278e+02,1.375792e-23,2.271112e-21
3.981072e+02,1.485494e-23,1.547236e-21
5.011872e+02,1.603914e-23,1.054063e-21
6.309573e+02,1.731758e-23,7.180798e-22
7.943282e+02,1.869787e-23,4.891903e-22
1.000000e+03,2.018784e-23,3.332541e-22
1.258925e+03,2.179578e-23,2.270169e-22
1.584893e+03,2.353205e-23,1.546484e-22
1.995262e+03,2.540541e-23,1.053445e-22
2.511886e+03,2.742737e-23,7.175791e-23
3.162278e+03,2.960953e-23,4.887842e-23
3.981072e+03,3.196376e-23,3.329227e-23
5.011872e+03,3.450409e-23,2.267546e-23
6.309573e+03,3.724418e-23,1.544344e-23
7.943282e+03,4.019952e-23,1.051735e-23
1.000000e+04,4.338621e-23,7.162050e-24
1.258925e+04,4.682203e-23,4.876810e-24
1.584893e+04,5.052506e-23,3.320416e-24
1.995262e+04,5.451531e-23,2.260498e-24
2.511886e+04,5.881304e-23,1.538719e-24
3.162278e+04,6.344078e-23,1.047259e-24
3.981072e+04,6.842080e-23,7.126459e-25
5.011872e+04,7.377714e-23,4.848500e-25
6.309573e+04,7.953479e-23,3.297940e-25
7.943282e+04,8.571882e-23,2.242651e-25
1.000000e+05,9.235675e-23,1.524594e-25
1.258925e+05,9.947342e-23,1.036079e-25
1.584893e+05,1.070940e-22,7.038027e-26
1.995262e+05,1.152448e-22,4.778668e-26
2.511886e+05,1.239491e-22,3.242865e-26
3.162278e+05,1.332278e-22,2.199280e-26
3.981072e+05,1.430824e-22,1.490294e-26
5.011872e+05,1.534061e-22,1.008157e-26
6.309573e+05,1.637474e-22,6.789846e-27
7.943282e+05,1.730388e-22,4.527194e-27
1.000000e+06,1.796596e-22,2.965760e-27
1.258925e+06,2.015218e-22,2.098977e-27
1.584893e+06,2.149179e-22,1.412401e-27
1.995262e+06,2.287849e-22,9.486652e-28
2.511886e+06,2.430354e-22,6.358506e-28
3.162278e+06,2.575624e-22,4.251754e-28
3.981072e+06,2.722255e-22,2.835400e-28
5.011872e+06,2.868482e-22,1.885114e-28
6.309573e+06,3.012194e-22,1.249018e-28
7.943282e+06,3.150829e-22,8.243477e-29
1.000000e+07,3.281511e-22,5.417007e-29
