nu/nu_c,j_nu,alpha_nu
1.000000e+00,3.947604e-23,5.932024e-14
1.258925e+00,4.282562e-23,4.060438e-14
1.584893e+00,4.641772e-23,2.776855e-14
1.995262e+00,5.026850e-23,1.897427e-14
2.511886e+00,5.439779e-23,1.295539e-14
3.162278e+00,5.883066e-23,8.840423e-15
3.981072e+00,6.358846e-23,6.029032e-15
5.011872e+00,6.869643e-23,4.109637e-15
6.309573e+00,7.417962e-23,2.799973e-15
7.943282e+00,8.006400e-23,1.906806e-15
1.000000e+01,8.637523e-23,1.297952e-15
1.258925e+01,9.312864e-23,8.829835e-16
1.584893e+01,1.003750e-22,6.004747e-16
1.995262e+01,1.081276e-22,4.081370e-16
2.511886e+01,1.164123e-22,2.772479e-16
3.162278e+01,1.252510e-22,1.882134e-16
3.981072e+01,1.346669e-22,1.276822e-16
5.011872e+01,1.446761e-22,8.654982e-17
6.309573e+01,1.552888e-22,5.861509e-17
7.943282e+01,1.665118e-22,3.965650e-17
1.000000e+02,1.783425e-22,2.679934e-17
1.258925e+02,1.907646e-22,1.808702e-17
1.584893e+02,2.037514e-22,1.218905e-17
1.995262e+02,2.172571e-22,8.200557e-18
2.511886e+02,2.312179e-22,5.506691e-18
3.162278e+02,2.455464e-22,3.689800e-18
3.981072e+02,2.601249e-22,2.466330e-18
5.011872e+02,2.748075e-22,1.643985e-18
6.309573e+02,2.894146e-22,1.092420e-18
7.943282e+02,3.037231e-22,7.233478e-19
1.000000e+03,3.174774e-22,4.770700e-19
1.258925e+03,3.303778e-22,3.132421e-19
1.584893e+03,3.420832e-22,2.046449e-19
1.995262e+03,3.522244e-22,1.329501e-19
2.511886e+03,3.604033e-22,8.583375e-20
3.162278e+03,3.662025e-22,5.502888e-20
3.981072e+03,3.692118e-22,3.500619e-20
5.011872e+03,3.690429e-22,2.207731e-20
6.309573e+03,3.653539e-22,1.379059e-20
7.943282e+03,3.578811e-22,8.523305e-21
1.000000e+04,3.464806e-22,5.206528e-21
1.258925e+04,3.311255e-22,3.139510e-21
1.584893e+04,3.119752e-22,1.866334e-21
1.995262e+04,2.893694e-22,1.092250e-21
2.511886e+04,2.638102e-22,6.282910e-22
3.162278e+04,2.360294e-22,3.546790e-22
3.981072e+04,2.068516e-22,1.961229e-22
5.011872e+04,1.772338e-22,1.060269e-22
6.309573e+04,1.481620e-22,5.592501e-23
7.943282e+04,1.205559e-22,2.871163e-23
1.000000e+05,9.527430e-23,1.431677e-23
1.258925e+05,7.293396e-23,6.915110e-24
1.584893e+05,5.391885e-23,3.225596e-24
1.995262e+05,3.838871e-23,1.449015e-24
2.511886e+05,2.621906e-23,6.244339e-25
3.162278e+05,1.714453e-23,2.576290e-25
3.981072e+05,1.067774e-23,1.012392e-25
5.011872e+05,6.303085e-24,3.770704e-26
6.309573e+05,3.524936e-24,1.330517e-26
7.943282e+05,1.851527e-24,4.409602e-27
1.000000e+06,9.099707e-25,1.367404e-27
1.258925e+06,4.160839e-25,3.945029e-28
1.584893e+06,1.759912e-25,1.052835e-28
1.995262e+06,6.838464e-26,2.581237e-29
2.511886e+06,2.424444e-26,5.774063e-30
3.162278e+06,7.787097e-27,1.170159e-30
3.981072e+06,2.244780e-27,2.128351e-31
5.011872e+06,5.771563e-28,3.452731e-32
6.309573e+06,1.308124e-28,4.937627e-33
7.943282e+06,2.589977e-29,6.168297e-34
1.000000e+07,4.433015e-30,6.661447e-35
