nu/nu_c,j_nu,alpha_nu
1.000000e+00,7.970139e-23,3.699398e-13
1.258925e+00,8.670151e-23,2.539171e-13
1.584893e+00,9.421100e-23,1.740872e-13
1.995262e+00,1.022502e-22,1.192145e-13
2.511886e+00,1.108192e-22,8.152301e-14
3.162278e+00,1.199252e-22,5.566417e-14
3.981072e+00,1.295671e-22,3.794546e-14
5.011872e+00,1.397661e-22,2.582659e-14
6.309573e+00,1.505366e-22,1.755122e-14
7.943282e+00,1.618871e-22,1.190906e-14
1.000000e+01,1.738184e-22,8.067907e-15
1.258925e+01,1.863211e-22,5.456663e-15
1.584893e+01,1.993766e-22,3.684168e-15
1.995262e+01,2.129454e-22,2.482753e-15
2.511886e+01,2.269703e-22,1.669684e-15
3.162278e+01,2.413694e-22,1.120334e-15
3.981072e+01,2.560348e-22,7.498323e-16
5.011872e+01,2.708331e-22,5.004571e-16
6.309573e+01,2.855871e-22,3.329690e-16
7.943282e+01,3.000819e-22,2.207522e-16
1.000000e+02,3.140721e-22,1.457789e-16
1.258925e+02,3.272676e-22,9.584472e-17
1.584893e+02,3.393386e-22,6.270447e-17
1.995262e+02,3.499076e-22,4.079610e-17
2.511886e+02,3.585991e-22,2.637998e-17
3.162278e+02,3.649827e-22,1.694094e-17
3.981072e+02,3.686609e-22,1.079673e-17
5.011872e+02,3.692235e-22,6.822672e-18
6.309573e+02,3.663273e-22,4.271048e-18
7.943282e+02,3.596895e-22,2.646019e-18
1.000000e+03,3.491242e-22,1.620485e-18
1.258925e+03,3.346086e-22,9.799463e-19
1.584893e+03,3.162320e-22,5.843473e-19
1.995262e+03,2.943019e-22,3.431297e-19
2.511886e+03,2.693169e-22,1.981202e-19
3.162278e+03,2.419182e-22,1.122881e-19
3.981072e+03,2.129523e-22,6.236596e-20
5.011872e+03,1.833433e-22,3.387898e-20
6.309573e+03,1.540691e-22,1.796308e-20
7.943282e+03,1.260954e-22,9.276076e-21
1.000000e+04,1.002625e-22,4.653759e-21
1.258925e+04,7.726448e-23,2.262794e-21
1.584893e+04,5.753613e-23,1.063178e-21
1.995262e+04,4.129313e-23,4.814410e-22
2.511886e+04,2.845186e-23,2.093032e-22
3.162278e+04,1.877396e-23,8.714069e-23
3.981072e+04,1.181002e-23,3.458723e-23
5.011872e+04,7.057364e-24,1.304090e-23
6.309573e+04,3.988160e-24,4.649837e-24
7.943282e+04,2.121276e-24,1.560495e-24
1.000000e+05,1.056780e-24,4.905123e-25
1.258925e+05,4.904237e-25,1.436272e-25
1.584893e+05,2.107648e-25,3.894605e-26
1.995262e+05,8.335008e-26,9.717873e-27
2.511886e+05,3.012755e-26,2.216302e-27
3.162278e+05,9.877989e-27,4.584941e-28
3.981072e+05,2.914945e-27,8.536810e-29
5.011872e+05,7.675885e-28,1.418383e-29
6.309573e+05,1.787221e-28,2.083740e-30
7.943282e+05,3.643338e-29,2.680185e-31
1.000000e+06,6.434119e-30,2.986443e-32
1.258925e+06,9.730568e-31,2.849728e-33
1.584893e+06,1.244681e-31,2.299975e-34
1.995262e+06,1.328635e-32,1.549070e-35
2.511886e+06,1.166349e-33,8.580127e-37
3.162278e+06,8.289311e-35,3.847545e-38
3.981072e+06,4.689313e-36,1.373328e-39
5.011872e+06,2.073261e-37,3.831061e-41
6.309573e+06,7.023963e-39,8.189312e-43
7.943282e+06,1.785059e-40,1.313160e-44
1.000000e+07,3.325382e-42,1.543500e-46
