nu/nu_c,j_nu,alpha_nu
1.000000e+00,7.975967e-24,1.040946e-15
1.258925e+00,8.619199e-24,7.097603e-16
1.584893e+00,9.313158e-24,4.838846e-16
1.995262e+00,1.006192e-23,3.298568e-16
2.511886e+00,1.086988e-23,2.248379e-16
3.162278e+00,1.174180e-23,1.532426e-16
3.981072e+00,1.268278e-23,1.044382e-16
5.011872e+00,1.369832e-23,7.117251e-17
6.309573e+00,1.479440e-23,4.850005e-17
7.943282e+00,1.597735e-23,3.304832e-17
1.000000e+01,1.725416e-23,2.251846e-17
1.258925e+01,1.862017e-23,1.533305e-17
1.584893e+01,2.010703e-23,1.044703e-17
1.995262e+01,2.171151e-23,7.117621e-18
2.511886e+01,2.344357e-23,4.849182e-18
3.162278e+01,2.531204e-23,3.303482e-18
3.981072e+01,2.732877e-23,2.250426e-18
5.011872e+01,2.950510e-23,1.532999e-18
6.309573e+01,3.185284e-23,1.044222e-18
7.943282e+01,3.438616e-23,7.112601e-19
1.000000e+02,3.711819e-23,4.844307e-19
1.258925e+02,4.006554e-23,3.299255e-19
1.584893e+02,4.324346e-23,2.246804e-19
1.995262e+02,4.666920e-23,1.529943e-19
2.511886e+02,5.036141e-23,1.041700e-19
3.162278e+02,5.434011e-23,7.091945e-20
3.981072e+02,5.862567e-23,4.827615e-20
5.011872e+02,6.323979e-23,3.285755e-20
6.309573e+02,6.820535e-23,2.235956e-20
7.943282e+02,7.354642e-23,1.521270e-20
1.000000e+03,7.928768e-23,1.034786e-20
1.258925e+03,8.545414e-23,7.036844e-21
1.584893e+03,9.207299e-23,4.783845e-21
1.995262e+03,9.916937e-23,3.251040e-21
2.511886e+03,1.067697e-22,2.208477e-21
3.162278e+03,1.148985e-22,1.499544e-21
3.981072e+03,1.235803e-22,1.017640e-21
5.011872e+03,1.328357e-22,6.901757e-22
6.309573e+03,1.426820e-22,4.677503e-22
7.943282e+03,1.531335e-22,3.167489e-22
1.000000e+04,1.641966e-22,2.142934e-22
1.258925e+04,1.758687e-22,1.448216e-22
1.584893e+04,1.881393e-22,9.775171e-23
1.995262e+04,2.009816e-22,6.588721e-23
2.511886e+04,2.143593e-22,4.433912e-23
3.162278e+04,2.282080e-22,2.978349e-23
3.981072e+04,2.424469e-22,1.996464e-23
5.011872e+04,2.569659e-22,1.335120e-23
6.309573e+04,2.716259e-22,8.904632e-24
7.943282e+04,2.862535e-22,5.921007e-24
1.000000e+05,3.006376e-22,3.923631e-24
1.258925e+05,3.145284e-22,2.590029e-24
1.584893e+05,3.276245e-22,1.702242e-24
1.995262e+05,3.396337e-22,1.113411e-24
2.511886e+05,3.501491e-22,7.242656e-25
3.162278e+05,3.587965e-22,4.682665e-25
3.981072e+05,3.651557e-22,3.006927e-25
5.011872e+05,3.688181e-22,1.916271e-25
6.309573e+05,3.693898e-22,1.210960e-25
7.943282e+05,3.665146e-22,7.581166e-26
1.000000e+06,3.598996e-22,4.697060e-26
1.258925e+06,3.493889e-22,2.877093e-26
1.584893e+06,3.349068e-22,1.740078e-26
1.995262e+06,3.165963e-22,1.037888e-26
2.511886e+06,2.947091e-22,6.095907e-27
3.162278e+06,2.697658e-22,3.520722e-27
3.981072e+06,2.424222e-22,1.996261e-27
5.011872e+06,2.134849e-22,1.109206e-27
6.309573e+06,1.838625e-22,6.027511e-28
7.943282e+06,1.545937e-22,3.197692e-28
1.000000e+07,1.265945e-22,1.652188e-28
