nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.781217e-24,2.436518e-17
1.258925e+00,1.923661e-24,1.660281e-17
1.584893e+00,2.077443e-24,1.131311e-17
1.995262e+00,2.243468e-24,7.708553e-18
2.511886e+00,2.422713e-24,5.252365e-18
3.162278e+00,2.616241e-24,3.578744e-18
3.981072e+00,2.825181e-24,2.438368e-18
5.011872e+00,3.050772e-24,1.661356e-18
6.309573e+00,3.294341e-24,1.131935e-18
7.943282e+00,3.557325e-24,7.712168e-19
1.000000e+01,3.841252e-24,5.254432e-19
1.258925e+01,4.144288e-24,3.576868e-19
1.584893e+01,4.475034e-24,2.436965e-19
1.995262e+01,4.832161e-24,1.660330e-19
2.511886e+01,5.217801e-24,1.131203e-19
3.162278e+01,5.634168e-24,7.706954e-20
3.981072e+01,6.083693e-24,5.250737e-20
5.011872e+01,6.569122e-24,3.577341e-20
6.309573e+01,7.093262e-24,2.437244e-20
7.943282e+01,7.659167e-24,1.660483e-20
1.000000e+02,8.270172e-24,1.131273e-20
1.258925e+02,8.929884e-24,7.707238e-21
1.584893e+02,9.642189e-24,5.250838e-21
1.995262e+02,1.041134e-23,3.577334e-21
2.511886e+02,1.124174e-23,2.437173e-21
3.162278e+02,1.213821e-23,1.660380e-21
3.981072e+02,1.310621e-23,1.131176e-21
5.011872e+02,1.415130e-23,7.706361e-22
6.309573e+02,1.527961e-23,5.250070e-22
7.943282e+02,1.649757e-23,3.576621e-22
1.000000e+03,1.781256e-23,2.436572e-22
1.258925e+03,1.923207e-23,1.659889e-22
1.584893e+03,2.076448e-23,1.130769e-22
1.995262e+03,2.241843e-23,7.702970e-23
2.511886e+03,2.420365e-23,5.247276e-23
3.162278e+03,2.613042e-23,3.574369e-23
3.981072e+03,2.820989e-23,2.434750e-23
5.011872e+03,3.045366e-23,1.658412e-23
6.309573e+03,3.287469e-23,1.129574e-23
7.943282e+03,3.548661e-23,7.693384e-24
1.000000e+04,3.830399e-23,5.239587e-24
1.258925e+04,4.134211e-23,3.568171e-24
1.584893e+04,4.461836e-23,2.429778e-24
1.995262e+04,4.815018e-23,1.654439e-24
2.511886e+04,5.195644e-23,1.126399e-24
3.162278e+04,5.605711e-23,7.668027e-25
3.981072e+04,6.047366e-23,5.219384e-25
5.011872e+04,6.522775e-23,3.552101e-25
6.309573e+04,7.034342e-23,2.416999e-25
7.943282e+04,7.584450e-23,1.644285e-25
1.000000e+05,8.175579e-23,1.118334e-25
1.258925e+05,8.810349e-23,7.604069e-26
1.584893e+05,9.491345e-23,5.168693e-26
1.995262e+05,1.022126e-22,3.512024e-26
2.511886e+05,1.100253e-22,2.385314e-26
3.162278e+05,1.183719e-22,1.619204e-26
3.981072e+05,1.271930e-22,1.097783e-26
5.011872e+05,1.362130e-22,7.417737e-27
6.309573e+05,1.446500e-22,4.970171e-27
7.943282e+05,1.512526e-22,3.279108e-27
1.000000e+06,1.547784e-22,2.117207e-27
1.258925e+06,1.808104e-22,1.560546e-27
1.584893e+06,1.933179e-22,1.052750e-27
1.995262e+06,2.063851e-22,7.091387e-28
2.511886e+06,2.199610e-22,4.768686e-28
3.162278e+06,2.339796e-22,3.200596e-28
3.981072e+06,2.483477e-22,2.143449e-28
5.011872e+06,2.629433e-22,1.431908e-28
6.309573e+06,2.776125e-22,9.538760e-29
7.943282e+06,2.921687e-22,6.334126e-29
1.000000e+07,3.063831e-22,4.191001e-29
