nu/nu_c,j_nu,alpha_nu
1.000000e+00,9.033440e-24,1.422757e-15
1.258925e+00,9.762999e-24,9.701987e-16
1.584893e+00,1.054999e-23,6.614995e-16
1.995262e+00,1.139904e-23,4.509682e-16
2.511886e+00,1.231513e-23,3.074088e-16
3.162278e+00,1.330364e-23,2.095308e-16
3.981072e+00,1.437034e-23,1.428053e-16
5.011872e+00,1.552146e-23,9.732177e-17
6.309573e+00,1.676377e-23,6.632071e-17
7.943282e+00,1.810444e-23,4.519211e-17
1.000000e+01,1.955134e-23,3.079314e-17
1.258925e+01,2.109984e-23,2.096798e-17
1.584893e+01,2.278435e-23,1.428611e-17
1.995262e+01,2.460223e-23,9.733117e-18
2.511886e+01,2.656387e-23,6.630844e-18
3.162278e+01,2.868038e-23,4.517127e-18
3.981072e+01,3.096444e-23,3.077093e-18
5.011872e+01,3.342838e-23,2.096008e-18
6.309573e+01,3.608608e-23,1.427635e-18
7.943282e+01,3.895297e-23,9.723397e-19
1.000000e+02,4.204408e-23,6.621895e-19
1.258925e+02,4.537716e-23,4.509359e-19
1.584893e+02,4.896964e-23,3.070467e-19
1.995262e+02,5.284092e-23,2.090489e-19
2.511886e+02,5.701152e-23,1.423115e-19
3.162278e+02,6.150247e-23,9.686569e-20
3.981072e+02,6.633644e-23,6.592188e-20
5.011872e+02,7.153685e-23,4.485463e-20
6.309573e+02,7.712826e-23,3.051343e-20
7.943282e+02,8.313583e-23,2.075227e-20
1.000000e+03,8.958533e-23,1.410959e-20
1.258925e+03,9.650353e-23,9.590046e-21
1.584893e+03,1.039164e-22,6.515705e-21
1.995262e+03,1.118484e-22,4.424937e-21
2.511886e+03,1.203243e-22,3.003521e-21
3.162278e+03,1.293665e-22,2.037508e-21
3.981072e+03,1.389973e-22,1.381287e-21
5.011872e+03,1.492223e-22,9.356451e-22
6.309573e+03,1.600594e-22,6.332257e-22
7.943282e+03,1.715095e-22,4.281201e-22
1.000000e+04,1.835626e-22,2.891090e-22
1.258925e+04,1.961999e-22,1.949737e-22
1.584893e+04,2.093846e-22,1.312871e-22
1.995262e+04,2.230701e-22,8.825083e-23
2.511886e+04,2.371760e-22,5.920362e-23
3.162278e+04,2.516069e-22,3.962780e-23
3.981072e+04,2.662338e-22,2.645700e-23
5.011872e+04,2.808960e-22,1.761258e-23
6.309573e+04,2.953960e-22,1.168644e-23
7.943282e+04,3.095008e-22,7.725724e-24
1.000000e+05,3.229286e-22,5.086089e-24
1.258925e+05,3.353768e-22,3.332809e-24
1.584893e+05,3.464823e-22,2.172494e-24
1.995262e+05,3.558638e-22,1.407866e-24
2.511886e+05,3.631114e-22,9.063946e-25
3.162278e+05,3.678138e-22,5.793027e-25
3.981072e+05,3.695619e-22,3.672524e-25
5.011872e+05,3.679865e-22,2.307328e-25
6.309573e+05,3.627700e-22,1.435188e-25
7.943282e+05,3.537192e-22,8.829500e-26
1.000000e+06,3.406743e-22,5.365582e-26
1.258925e+06,3.237541e-22,3.217309e-26
1.584893e+06,3.031317e-22,1.900679e-26
1.995262e+06,2.792613e-22,1.104811e-26
2.511886e+06,2.526893e-22,6.307602e-27
3.162278e+06,2.242292e-22,3.531585e-27
3.981072e+06,1.947539e-22,1.935368e-27
5.011872e+06,1.652627e-22,1.036221e-27
6.309573e+06,1.366793e-22,5.407298e-28
7.943282e+06,1.099350e-22,2.744185e-28
1.000000e+07,8.578424e-23,1.351092e-28
