nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.244298e-22,1.224955e-12
1.258925e+00,1.353175e-22,8.405234e-13
1.584893e+00,1.467001e-22,5.749450e-13
1.995262e+00,1.587026e-22,3.924461e-13
2.511886e+00,1.715167e-22,2.676099e-13
3.162278e+00,1.849774e-22,1.821019e-13
3.981072e+00,1.990901e-22,1.236646e-13
5.011872e+00,2.137168e-22,8.375959e-14
6.309573e+00,2.287491e-22,5.656596e-14
7.943282e+00,2.440592e-22,3.807947e-14
1.000000e+01,2.594940e-22,2.554602e-14
1.258925e+01,2.749031e-22,1.707558e-14
1.584893e+01,2.900781e-22,1.136870e-14
1.995262e+01,3.048070e-22,7.537387e-15
2.511886e+01,3.188138e-22,4.974311e-15
3.162278e+01,3.318159e-22,3.266578e-15
3.981072e+01,3.434678e-22,2.133447e-15
5.011872e+01,3.533929e-22,1.385012e-15
6.309573e+01,3.611920e-22,8.931697e-16
7.943282e+01,3.664439e-22,5.717462e-16
1.000000e+02,3.687495e-22,3.630173e-16
1.258925e+02,3.677264e-22,2.284129e-16
1.584893e+02,3.630686e-22,1.422933e-16
1.995262e+02,3.544959e-22,8.766114e-17
2.511886e+02,3.419614e-22,5.335473e-17
3.162278e+02,3.254658e-22,3.204064e-17
3.981072e+02,3.052507e-22,1.896062e-17
5.011872e+02,2.816654e-22,1.103899e-17
6.309573e+02,2.553356e-22,6.314038e-18
7.943282e+02,2.270027e-22,3.541824e-18
1.000000e+03,1.975594e-22,1.944883e-18
1.258925e+03,1.679908e-22,1.043473e-18
1.584893e+03,1.392591e-22,5.457821e-19
1.995262e+03,1.122911e-22,2.776778e-19
2.511886e+03,8.785047e-23,1.370692e-19
3.162278e+03,6.651348e-23,6.547952e-20
3.981072e+03,4.858390e-23,3.017785e-20
5.011872e+03,3.414881e-23,1.338355e-20
6.309573e+03,2.299916e-23,5.687321e-21
7.943282e+03,1.480644e-23,2.310183e-21
1.000000e+04,9.068683e-24,8.927709e-22
1.258925e+04,5.263181e-24,3.269220e-22
1.584893e+04,2.881913e-24,1.129475e-22
1.995262e+04,1.481395e-24,3.663252e-23
2.511886e+04,7.111955e-25,1.109647e-23
3.162278e+04,3.170771e-25,3.121481e-24
3.981072e+04,1.304821e-25,8.104885e-25
5.011872e+04,4.923238e-26,1.929509e-25
6.309573e+04,1.691426e-26,4.182623e-26
7.943282e+04,5.249824e-27,8.191069e-27
1.000000e+05,1.460029e-27,1.437332e-27
1.258925e+05,3.606506e-28,2.240178e-28
1.584893e+05,7.837448e-29,3.071641e-29
1.995262e+05,1.482045e-29,3.664859e-30
2.511886e+05,2.415780e-30,3.769234e-31
3.162278e+05,3.348738e-31,3.296682e-32
3.981072e+05,3.898545e-32,2.421577e-33
5.011872e+05,3.758574e-33,1.473055e-34
6.309573e+05,2.955766e-34,7.309134e-36
7.943282e+05,1.865247e-35,2.910263e-37
1.000000e+06,9.280240e-37,9.135978e-39
1.258925e+06,3.571660e-38,2.218533e-40
1.584893e+06,1.041700e-39,4.082615e-42
1.995262e+06,2.251899e-41,5.568583e-44
2.511886e+06,3.522576e-43,5.496120e-46
3.162278e+06,3.885721e-45,3.825317e-48
3.981072e+06,2.939332e-47,1.825764e-50
5.011872e+06,1.479452e-49,5.798247e-53
6.309573e+06,4.796167e-52,1.186015e-55
7.943282e+06,9.668723e-55,1.508568e-58
1.000000e+07,1.166942e-57,1.148802e-61
