nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.287712e-24,4.557426e-17
1.258925e+00,2.470785e-24,3.105655e-17
1.584893e+00,2.668420e-24,2.116277e-17
1.995262e+00,2.881783e-24,1.442047e-17
2.511886e+00,3.112129e-24,9.825979e-18
3.162278e+00,3.360812e-24,6.695184e-18
3.981072e+00,3.629301e-24,4.561852e-18
5.011872e+00,3.919177e-24,3.108230e-18
6.309573e+00,4.232146e-24,2.117770e-18
7.943282e+00,4.570051e-24,1.442910e-18
1.000000e+01,4.934865e-24,9.830907e-19
1.258925e+01,5.324311e-24,6.692397e-19
1.584893e+01,5.749274e-24,4.559648e-19
1.995262e+01,6.208163e-24,3.106572e-19
2.511886e+01,6.703608e-24,2.116542e-19
3.162278e+01,7.238567e-24,1.442019e-19
3.981072e+01,7.816089e-24,9.824439e-20
5.011872e+01,8.439759e-24,6.693424e-20
6.309573e+01,9.113128e-24,4.560220e-20
7.943282e+01,9.840068e-24,3.106822e-20
1.000000e+02,1.062503e-23,2.116647e-20
1.258925e+02,1.147250e-23,1.442037e-20
1.584893e+02,1.238750e-23,9.824306e-21
1.995262e+02,1.337537e-23,6.693052e-21
2.511886e+02,1.444200e-23,4.559797e-21
3.162278e+02,1.559330e-23,3.106393e-21
3.981072e+02,1.683647e-23,2.116262e-21
5.011872e+02,1.817851e-23,1.441705e-21
6.309573e+02,1.962698e-23,9.821363e-22
7.943282e+02,2.119082e-23,6.690615e-22
1.000000e+03,2.287858e-23,4.557716e-22
1.258925e+03,2.470054e-23,3.104736e-22
1.584893e+03,2.666664e-23,2.114884e-22
1.995262e+03,2.878843e-23,1.440577e-22
2.511886e+03,3.107788e-23,9.812275e-23
3.162278e+03,3.354844e-23,6.683294e-23
3.981072e+03,3.621330e-23,4.551834e-23
5.011872e+03,3.908776e-23,3.099982e-23
6.309573e+03,4.218745e-23,2.111065e-23
7.943282e+03,4.552958e-23,1.437513e-23
1.000000e+04,4.913237e-23,9.787820e-24
1.258925e+04,5.301473e-23,6.663691e-24
1.584893e+04,5.719704e-23,4.536196e-24
1.995262e+04,6.170114e-23,3.087532e-24
2.511886e+04,6.654883e-23,2.101158e-24
3.162278e+04,7.176425e-23,1.429639e-24
3.981072e+04,7.737033e-23,9.725070e-25
5.011872e+04,8.339594e-23,6.613985e-25
6.309573e+04,8.986378e-23,4.496794e-25
7.943282e+04,9.680171e-23,3.056338e-25
1.000000e+05,1.042343e-22,2.076486e-25
1.258925e+05,1.121874e-22,1.410140e-25
1.584893e+05,1.206858e-22,9.571374e-26
1.995262e+05,1.297516e-22,6.492786e-26
2.511886e+05,1.394032e-22,4.401402e-26
3.162278e+05,1.496558e-22,2.981342e-26
3.981072e+05,1.605184e-22,2.017637e-26
5.011872e+05,1.719581e-22,1.363770e-26
6.309573e+05,1.837756e-22,9.196152e-27
7.943282e+05,1.952946e-22,6.166069e-27
1.000000e+06,2.050185e-22,4.084241e-27
1.258925e+06,2.236401e-22,2.811046e-27
1.584893e+06,2.377612e-22,1.885642e-27
1.995262e+06,2.522037e-22,1.262030e-27
2.511886e+06,2.668329e-22,8.424762e-28
3.162278e+06,2.814916e-22,5.607687e-28
3.981072e+06,2.959822e-22,3.720351e-28
5.011872e+06,3.100659e-22,2.459078e-28
6.309573e+06,3.234673e-22,1.618634e-28
7.943282e+06,3.358595e-22,1.060415e-28
1.000000e+07,3.469006e-22,6.910721e-29
