nu/nu_c,j_nu,alpha_nu
1.000000e+00,3.101083e-23,3.199760e-14
1.258925e+00,3.360309e-23,2.187677e-14
1.584893e+00,3.638782e-23,1.494721e-14
1.995262e+00,3.937940e-23,1.020641e-14
2.511886e+00,4.259485e-23,6.965640e-15
3.162278e+00,4.605323e-23,4.751865e-15
3.981072e+00,4.977294e-23,3.240390e-15
5.011872e+00,5.377440e-23,2.208918e-15
6.309573e+00,5.807871e-23,1.505293e-15
7.943282e+00,6.270814e-23,1.025482e-15
1.000000e+01,6.768517e-23,6.983892e-16
1.258925e+01,7.302026e-23,4.753871e-16
1.584893e+01,7.876812e-23,3.235597e-16
1.995262e+01,8.493895e-23,2.201460e-16
2.511886e+01,9.155897e-23,1.497286e-16
3.162278e+01,9.865340e-23,1.017926e-16
3.981072e+01,1.062490e-22,6.917175e-17
5.011872e+01,1.143717e-22,4.698101e-17
6.309573e+01,1.230453e-22,3.189106e-17
7.943282e+01,1.322906e-22,2.163381e-17
1.000000e+02,1.421250e-22,1.466474e-17
1.258925e+02,1.525637e-22,9.932422e-18
1.584893e+02,1.636124e-22,6.720790e-18
1.995262e+02,1.752689e-22,4.542645e-18
2.511886e+02,1.875267e-22,3.066670e-18
3.162278e+02,2.003565e-22,2.067319e-18
3.981072e+02,2.137196e-22,1.391388e-18
5.011872e+02,2.275601e-22,9.347601e-19
6.309573e+02,2.417922e-22,6.266807e-19
7.943282e+02,2.563090e-22,4.191485e-19
1.000000e+03,2.709731e-22,2.795955e-19
1.258925e+03,2.856122e-22,1.859434e-19
1.584893e+03,3.000160e-22,1.232391e-19
1.995262e+03,3.139391e-22,8.136721e-20
2.511886e+03,3.270930e-22,5.349032e-20
3.162278e+03,3.391437e-22,3.499353e-20
3.981072e+03,3.497340e-22,2.276889e-20
5.011872e+03,3.584677e-22,1.472496e-20
6.309573e+03,3.649351e-22,9.458442e-21
7.943282e+03,3.687172e-22,6.029723e-21
1.000000e+04,3.694239e-22,3.811790e-21
1.258925e+04,3.666955e-22,2.387314e-21
1.584893e+04,3.602445e-22,1.479794e-21
1.995262e+04,3.498988e-22,9.068729e-22
2.511886e+04,3.355753e-22,5.487746e-22
3.162278e+04,3.174046e-22,3.275044e-22
3.981072e+04,2.956586e-22,1.924839e-22
5.011872e+04,2.708377e-22,1.112534e-22
6.309573e+04,2.435600e-22,6.312625e-23
7.943282e+04,2.146708e-22,3.510565e-23
1.000000e+05,1.850769e-22,1.909661e-23
1.258925e+05,1.557620e-22,1.014064e-23
1.584893e+05,1.276969e-22,5.245468e-24
1.995262e+05,1.017295e-22,2.636641e-24
2.511886e+05,7.853891e-23,1.284366e-24
3.162278e+05,5.862445e-23,6.048989e-25
3.981072e+05,4.217033e-23,2.745434e-25
5.011872e+05,2.914385e-23,1.197156e-25
6.309573e+05,1.928270e-23,4.997718e-26
7.943282e+05,1.217053e-23,1.990277e-26
1.000000e+06,7.297998e-24,7.530222e-27
1.258925e+06,4.140117e-24,2.695359e-27
1.584893e+06,2.211716e-24,9.085177e-28
1.995262e+06,1.106555e-24,2.867986e-28
2.511886e+06,5.160968e-25,8.439859e-29
3.162278e+06,2.230633e-25,2.301612e-29
3.981072e+06,8.868702e-26,5.773821e-30
5.011872e+06,3.227979e-26,1.325973e-30
6.309573e+06,1.065029e-26,2.760359e-31
7.943282e+06,3.162496e-27,5.171708e-32
1.000000e+07,8.381306e-28,8.648000e-33
