nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.592550e-24,6.232727e-17
1.258925e+00,2.800104e-24,4.247419e-17
1.584893e+00,3.024159e-24,2.894380e-17
1.995262e+00,3.266042e-24,1.972299e-17
2.511886e+00,3.527163e-24,1.343929e-17
3.162278e+00,3.809073e-24,9.157359e-18
3.981072e+00,4.113429e-24,6.239574e-18
5.011872e+00,4.442024e-24,4.251399e-18
6.309573e+00,4.796789e-24,2.896687e-18
7.943282e+00,5.179820e-24,1.973629e-18
1.000000e+01,5.593357e-24,1.344694e-18
1.258925e+01,6.034825e-24,9.154100e-19
1.584893e+01,6.516577e-24,6.236924e-19
1.995262e+01,7.036670e-24,4.249307e-19
2.511886e+01,7.598310e-24,2.895129e-19
3.162278e+01,8.204626e-24,1.972467e-19
3.981072e+01,8.859250e-24,1.343841e-19
5.011872e+01,9.566121e-24,9.155600e-20
6.309573e+01,1.032931e-23,6.237670e-20
7.943282e+01,1.115329e-23,4.249657e-20
1.000000e+02,1.204285e-23,2.895210e-20
1.258925e+02,1.300340e-23,1.972458e-20
1.584893e+02,1.404022e-23,1.343770e-20
1.995262e+02,1.515995e-23,9.154797e-21
2.511886e+02,1.636855e-23,6.236790e-21
3.162278e+02,1.767319e-23,4.248796e-21
3.981072e+02,1.908178e-23,2.894475e-21
5.011872e+02,2.060213e-23,1.971801e-21
6.309573e+02,2.224349e-23,1.343241e-21
7.943282e+02,2.401476e-23,9.150170e-22
1.000000e+03,2.592676e-23,6.233029e-22
1.258925e+03,2.798993e-23,4.245734e-22
1.584893e+03,3.021660e-23,2.891989e-22
1.995262e+03,3.261900e-23,1.969797e-22
2.511886e+03,3.521082e-23,1.341612e-22
3.162278e+03,3.800650e-23,9.137108e-23
3.981072e+03,4.102167e-23,6.222491e-23
5.011872e+03,4.427256e-23,4.237264e-23
6.309573e+03,4.777741e-23,2.885184e-23
7.943282e+03,5.155472e-23,1.964352e-23
1.000000e+04,5.562453e-23,1.337265e-23
1.258925e+04,6.000779e-23,9.102455e-24
1.584893e+04,6.472642e-23,6.194874e-24
1.995262e+04,6.980715e-23,4.215517e-24
2.511886e+04,7.526451e-23,2.867749e-24
3.162278e+04,8.113295e-23,1.950510e-24
3.981072e+04,8.743464e-23,1.326278e-24
5.011872e+04,9.419669e-23,9.015433e-25
6.309573e+04,1.014447e-22,6.126044e-25
7.943282e+04,1.092036e-22,4.160907e-25
1.000000e+05,1.174995e-22,2.824795e-25
1.258925e+05,1.263544e-22,1.916644e-25
1.584893e+05,1.357887e-22,1.299614e-25
1.995262e+05,1.458190e-22,8.805726e-26
2.511886e+05,1.564556e-22,5.961315e-26
3.162278e+05,1.677065e-22,4.031816e-26
3.981072e+05,1.795636e-22,2.723763e-26
5.011872e+05,1.920085e-22,1.837686e-26
6.309573e+05,2.049543e-22,1.237679e-26
7.943282e+05,2.180671e-22,8.308854e-27
1.000000e+06,2.302911e-22,5.536409e-27
1.258925e+06,2.468676e-22,3.744683e-27
1.584893e+06,2.614453e-22,2.502256e-27
1.995262e+06,2.761174e-22,1.667419e-27
2.511886e+06,2.906922e-22,1.107604e-27
3.162278e+06,3.049548e-22,7.331390e-28
3.981072e+06,3.186396e-22,4.833376e-28
5.011872e+06,3.314458e-22,3.172221e-28
6.309573e+06,3.430340e-22,2.071515e-28
7.943282e+06,3.530130e-22,1.345060e-28
1.000000e+07,3.610124e-22,8.679067e-29
