nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.627391e-22,1.694521e-11
1.258925e+00,2.852052e-22,1.160593e-11
1.584893e+00,3.088740e-22,7.930559e-12
1.995262e+00,3.210095e-22,5.200441e-12
2.511886e+00,3.340851e-22,3.414912e-12
3.162278e+00,3.407049e-22,2.197357e-12
3.981072e+00,3.434730e-22,1.397703e-12
5.011872e+00,3.408108e-22,8.750558e-13
6.309573e+00,3.325806e-22,5.387897e-13
7.943282e+00,3.189910e-22,3.260624e-13
1.000000e+01,nan,nan
1.258925e+01,2.794556e-22,1.137196e-13
1.584893e+01,2.551769e-22,6.551848e-14
1.995262e+01,2.285305e-22,3.702256e-14
2.511886e+01,1.998906e-22,2.043218e-14
3.162278e+01,1.701665e-22,1.097480e-14
3.981072e+01,1.408042e-22,5.729779e-15
5.011872e+01,1.131295e-22,2.904681e-15
6.309573e+01,8.806034e-23,1.426602e-15
7.943282e+01,6.624091e-23,6.770935e-16
1.000000e+02,4.800059e-23,3.095772e-16
1.258925e+02,3.341421e-23,1.359733e-16
1.584893e+02,2.226582e-23,5.716907e-17
1.995262e+02,1.415024e-23,2.292377e-17
2.511886e+02,8.544031e-24,8.733437e-18
3.162278e+02,4.880182e-24,3.147447e-18
3.981072e+02,2.625045e-24,1.068216e-18
5.011872e+02,1.323068e-24,3.397071e-19
6.309573e+02,6.215619e-25,1.006947e-19
7.943282e+02,2.706025e-25,2.766012e-20
1.000000e+03,1.084925e-25,6.997165e-21
1.258925e+03,3.979188e-26,1.619261e-21
1.584893e+03,1.325329e-26,3.402875e-22
1.995262e+03,3.977631e-27,6.443871e-23
2.511886e+03,1.066621e-27,1.090266e-23
3.162278e+03,2.532475e-28,1.633306e-24
3.981072e+03,5.272044e-29,2.145366e-25
5.011872e+03,9.521676e-30,2.444757e-26
6.309573e+03,1.475038e-30,2.389602e-27
7.943282e+03,1.935955e-31,1.978871e-28
1.000000e+04,2.124217e-32,1.370002e-29
1.258925e+04,1.920794e-33,7.816335e-31
1.584893e+04,1.409268e-34,3.618394e-32
1.995262e+04,8.250246e-36,1.336562e-33
2.511886e+04,3.784835e-37,3.868738e-35
3.162278e+04,1.334313e-38,8.605579e-37
3.981072e+04,3.539552e-40,1.440359e-38
5.011872e+04,6.906207e-42,1.773217e-40
6.309573e+04,9.670889e-44,1.566710e-42
7.943282e+04,9.464859e-46,9.674678e-45
1.000000e+05,6.291464e-48,4.057645e-47
1.258925e+05,2.753954e-50,1.120673e-49
1.584893e+05,7.677834e-53,1.971338e-52
1.995262e+05,1.315076e-55,2.130459e-55
2.511886e+05,1.331070e-58,1.360577e-58
3.162278e+05,7.633930e-62,4.923462e-62
3.981072e+05,2.370832e-65,9.647687e-66
5.011872e+05,3.796585e-69,9.747999e-70
6.309573e+05,2.973488e-73,4.817132e-74
7.943282e+05,1.075796e-77,1.099645e-78
1.000000e+06,1.690508e-82,1.090284e-83
1.258925e+06,1.079509e-87,4.392875e-89
1.584893e+06,2.607058e-93,6.693804e-95
1.995262e+06,2.203405e-99,3.569576e-101
2.511886e+06,5.993412e-106,6.126275e-108
3.162278e+06,4.792973e-113,3.091202e-115
3.981072e+06,1.022041e-120,4.159017e-123
5.011872e+06,5.229521e-129,1.342716e-131
6.309573e+06,5.729678e-138,9.282235e-141
7.943282e+06,1.188701e-147,1.215052e-150
1.000000e+07,4.089111e-158,2.637250e-161
