nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.116678e-22,9.109430e-13
1.258925e+00,1.214076e-22,6.248979e-13
1.584893e+00,1.317080e-22,4.277357e-13
1.995262e+00,1.426823e-22,2.923704e-13
2.511886e+00,1.544177e-22,1.996459e-13
3.162278e+00,1.668059e-22,1.360739e-13
3.981072e+00,1.798237e-22,9.255717e-14
5.011872e+00,1.933969e-22,6.280767e-14
6.309573e+00,2.074642e-22,4.251150e-14
7.943282e+00,2.219528e-22,2.869616e-14
1.000000e+01,2.367693e-22,1.931473e-14
1.258925e+01,2.518157e-22,1.296122e-14
1.584893e+01,2.669547e-22,8.669632e-15
1.995262e+01,2.820265e-22,5.779005e-15
2.511886e+01,2.968253e-22,3.837638e-15
3.162278e+01,3.111209e-22,2.538005e-15
3.981072e+01,3.246307e-22,1.670909e-15
5.011872e+01,3.370338e-22,1.094553e-15
6.309573e+01,3.479686e-22,7.130225e-16
7.943282e+01,3.570444e-22,4.616209e-16
1.000000e+02,3.638496e-22,2.968145e-16
1.258925e+02,3.679661e-22,1.893961e-16
1.584893e+02,3.690047e-22,1.198381e-16
1.995262e+02,3.665827e-22,7.511646e-17
2.511886e+02,3.604338e-22,4.660030e-17
3.162278e+02,3.503758e-22,2.858231e-17
3.981072e+02,3.363177e-22,1.731063e-17
5.011872e+02,3.183776e-22,1.033965e-17
6.309573e+02,2.968437e-22,6.082624e-18
7.943282e+02,2.721606e-22,3.518750e-18
1.000000e+03,2.449862e-22,1.998503e-18
1.258925e+03,2.161416e-22,1.112504e-18
1.584893e+03,1.865480e-22,6.058343e-19
1.995262e+03,1.571737e-22,3.220646e-19
2.511886e+03,1.290055e-22,1.667905e-19
3.162278e+03,1.029071e-22,8.394765e-20
3.981072e+03,7.956842e-23,4.095472e-20
5.011872e+03,5.947613e-23,1.931550e-20
6.309573e+03,4.284382e-23,8.779128e-21
7.943282e+03,2.966052e-23,3.834793e-21
1.000000e+04,1.965810e-23,1.603632e-21
1.258925e+04,1.242880e-23,6.397237e-22
1.584893e+04,7.462884e-24,2.423650e-22
1.995262e+04,4.244384e-24,8.697168e-23
2.511886e+04,2.270375e-24,2.935356e-23
3.162278e+04,1.139621e-24,9.296591e-24
3.981072e+04,5.328686e-25,2.742732e-24
5.011872e+04,2.308158e-25,7.495984e-25
6.309573e+04,9.208440e-26,1.886902e-25
7.943282e+04,3.359861e-26,4.343946e-26
1.000000e+05,1.112981e-26,9.079271e-27
1.258925e+05,3.321229e-27,1.709472e-27
1.584893e+05,8.852576e-28,2.874967e-28
1.995262e+05,2.088367e-28,4.279274e-29
2.511886e+05,4.318094e-29,5.582841e-30
3.162278e+05,7.743627e-30,6.316952e-31
3.981072e+05,1.190583e-30,6.128057e-32
5.011872e+05,1.550253e-31,5.034609e-33
6.309573e+05,1.686846e-32,3.456516e-34
7.943282e+05,1.511745e-33,1.954527e-35
1.000000e+06,1.098671e-34,8.962534e-37
1.258925e+06,6.366878e-36,3.277100e-38
1.584893e+06,2.889207e-37,9.383002e-40
1.995262e+06,1.006771e-38,2.062974e-41
2.511886e+06,2.637342e-40,3.409806e-43
3.162278e+06,5.077036e-42,4.141650e-45
3.981072e+06,7.007291e-44,3.606727e-47
5.011872e+06,6.752036e-46,2.192795e-49
6.309573e+06,4.413597e-48,9.043902e-52
7.943282e+06,1.897404e-50,2.453144e-54
1.000000e+07,5.187962e-53,4.232139e-57
