nu/nu_c,j_nu,alpha_nu
1.000000e+00,4.843048e-24,2.980114e-16
1.258925e+00,5.231964e-24,2.031323e-16
1.584893e+00,5.651697e-24,1.384500e-16
1.995262e+00,6.104718e-24,9.435823e-17
2.511886e+00,6.593709e-24,6.430488e-17
3.162278e+00,7.121529e-24,4.382152e-17
3.981072e+00,7.691291e-24,2.986162e-17
5.011872e+00,8.306356e-24,2.034814e-17
6.309573e+00,8.970317e-24,1.386507e-17
7.943282e+00,9.687094e-24,9.447300e-18
1.000000e+01,1.046090e-23,6.436994e-18
1.258925e+01,1.128774e-23,4.382493e-18
1.584893e+01,1.218908e-23,2.985967e-18
1.995262e+01,1.316200e-23,2.034398e-18
2.511886e+01,1.421248e-23,1.386067e-18
3.162278e+01,1.534640e-23,9.443234e-19
3.981072e+01,1.657063e-23,6.433588e-19
5.011872e+01,1.789204e-23,4.383027e-19
6.309573e+01,1.931871e-23,2.986017e-19
7.943282e+01,2.085851e-23,2.034218e-19
1.000000e+02,2.252041e-23,1.385768e-19
1.258925e+02,2.431434e-23,9.440101e-20
1.584893e+02,2.625051e-23,6.430606e-20
1.995262e+02,2.833972e-23,4.380359e-20
2.511886e+02,3.059408e-23,2.983675e-20
3.162278e+02,3.302671e-23,2.032261e-20
3.981072e+02,3.565092e-23,1.384156e-20
5.011872e+02,3.848165e-23,9.426879e-21
6.309573e+02,4.153422e-23,6.419781e-21
7.943282e+02,4.482553e-23,4.371592e-21
1.000000e+03,4.837380e-23,2.976627e-21
1.258925e+03,5.219744e-23,2.026578e-21
1.584893e+03,5.631707e-23,1.379603e-21
1.995262e+03,6.075352e-23,9.390434e-22
2.511886e+03,6.552931e-23,6.390720e-22
3.162278e+03,7.066797e-23,4.348474e-22
3.981072e+03,7.619327e-23,2.958222e-22
5.011872e+03,8.213084e-23,2.011965e-22
6.309573e+03,8.850581e-23,1.368000e-22
7.943282e+03,9.534526e-23,9.298508e-23
1.000000e+04,1.026752e-22,6.318001e-23
1.258925e+04,1.105204e-22,4.290980e-23
1.584893e+04,1.189058e-22,2.912845e-23
1.995262e+04,1.278539e-22,1.976188e-23
2.511886e+04,1.373846e-22,1.339838e-23
3.162278e+04,1.475136e-22,9.077082e-24
3.981072e+04,1.582499e-22,6.144092e-24
5.011872e+04,1.696010e-22,4.154729e-24
6.309573e+04,1.815561e-22,2.806242e-24
7.943282e+04,1.940991e-22,1.892944e-24
1.000000e+05,2.071996e-22,1.274979e-24
1.258925e+05,2.208062e-22,8.572856e-25
1.584893e+05,2.348499e-22,5.753136e-25
1.995262e+05,2.492356e-22,3.852337e-25
2.511886e+05,2.638400e-22,2.573089e-25
3.162278e+05,2.785082e-22,1.713768e-25
3.981072e+05,2.930491e-22,1.137770e-25
5.011872e+05,3.072359e-22,7.526380e-26
6.309573e+05,3.207946e-22,4.958396e-26
7.943282e+05,3.334294e-22,3.251757e-26
1.000000e+06,3.447751e-22,2.121534e-26
1.258925e+06,3.544684e-22,1.376232e-26
1.584893e+06,3.620922e-22,8.870200e-27
1.995262e+06,3.672370e-22,5.676239e-27
2.511886e+06,3.695010e-22,3.603544e-27
3.162278e+06,3.684806e-22,2.267404e-27
3.981072e+06,3.638719e-22,1.412742e-27
5.011872e+06,3.554645e-22,8.707839e-28
6.309573e+06,3.430767e-22,5.302803e-28
7.943282e+06,3.267770e-22,3.186880e-28
1.000000e+07,3.067140e-22,1.887330e-28
