nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.022990e-23,1.944381e-15
1.258925e+00,1.105745e-23,1.326066e-15
1.584893e+00,1.195001e-23,9.042293e-16
1.995262e+00,1.291282e-23,6.164972e-16
2.511886e+00,1.395150e-23,4.202726e-16
3.162278e+00,1.507218e-23,2.864747e-16
3.981072e+00,1.628138e-23,1.952547e-16
5.011872e+00,1.758616e-23,1.330703e-16
6.309573e+00,1.899410e-23,9.068364e-17
7.943282e+00,2.051342e-23,6.179427e-17
1.000000e+01,2.215290e-23,4.210569e-17
1.258925e+01,2.390813e-23,2.867185e-17
1.584893e+01,2.581645e-23,1.953469e-17
1.995262e+01,2.787555e-23,1.330864e-17
2.511886e+01,3.009710e-23,9.066399e-18
3.162278e+01,3.249390e-23,6.176067e-18
3.981072e+01,3.507951e-23,4.206914e-18
5.011872e+01,3.786811e-23,2.865390e-18
6.309573e+01,4.087531e-23,1.951512e-18
7.943282e+01,4.411825e-23,1.329011e-18
1.000000e+02,4.761346e-23,9.049817e-19
1.258925e+02,5.138070e-23,6.161836e-19
1.584893e+02,5.543912e-23,4.194947e-19
1.995262e+02,5.981007e-23,2.855515e-19
2.511886e+02,6.451563e-23,1.943458e-19
3.162278e+02,6.957897e-23,1.322477e-19
3.981072e+02,7.502421e-23,8.997287e-20
5.011872e+02,8.087621e-23,6.119711e-20
6.309573e+02,8.716017e-23,4.161292e-20
7.943282e+02,9.390389e-23,2.828744e-20
1.000000e+03,1.011323e-22,1.922207e-20
1.258925e+03,1.088703e-22,1.305629e-20
1.584893e+03,1.171441e-22,8.864014e-21
1.995262e+03,1.259758e-22,6.014467e-21
2.511886e+03,1.353872e-22,4.078380e-21
3.162278e+03,1.453932e-22,2.763466e-21
3.981072e+03,1.560065e-22,1.870909e-21
5.011872e+03,1.672316e-22,1.265402e-21
6.309573e+03,1.790642e-22,8.549068e-22
7.943282e+03,1.914904e-22,5.768423e-22
1.000000e+04,2.044785e-22,3.886492e-22
1.258925e+04,2.179890e-22,2.614236e-22
1.584893e+04,2.319508e-22,1.755117e-22
1.995262e+04,2.462746e-22,1.175790e-22
2.511886e+04,2.608463e-22,7.857688e-23
3.162278e+04,2.755206e-22,5.236778e-23
3.981072e+04,2.901000e-22,3.479028e-23
5.011872e+04,3.043817e-22,2.303184e-23
6.309573e+04,3.180963e-22,1.518688e-23
7.943282e+04,3.309432e-22,9.969275e-24
1.000000e+05,3.425820e-22,6.511404e-24
1.258925e+05,3.526413e-22,4.229055e-24
1.584893e+05,3.607220e-22,2.729498e-24
1.995262e+05,3.664096e-22,1.749351e-24
2.511886e+05,3.692879e-22,1.112437e-24
3.162278e+05,3.689801e-22,7.013148e-25
3.981072e+05,3.651297e-22,4.378822e-25
5.011872e+05,3.575006e-22,2.705122e-25
6.309573e+05,3.459353e-22,1.651600e-25
7.943282e+05,3.304132e-22,9.953309e-26
1.000000e+06,3.111142e-22,5.913300e-26
1.258925e+06,2.883795e-22,3.458394e-26
1.584893e+06,2.627107e-22,1.987869e-26
1.995262e+06,2.348592e-22,1.121290e-26
2.511886e+06,2.056446e-22,6.194803e-27
3.162278e+06,1.760283e-22,3.345742e-27
3.981072e+06,1.469961e-22,1.762852e-27
5.011872e+06,1.195049e-22,9.042653e-28
6.309573e+06,9.431970e-23,4.503110e-28
7.943282e+06,7.209271e-23,2.171708e-28
1.000000e+07,5.322484e-23,1.011637e-28
