nu/nu_c,j_nu,alpha_nu
1.000000e+00,5.633068e-23,1.487689e-13
1.258925e+00,6.122995e-23,1.020308e-13
1.584893e+00,6.647851e-23,6.989539e-14
1.995262e+00,7.208864e-23,4.782270e-14
2.511886e+00,7.807845e-23,3.268123e-14
3.162278e+00,8.447985e-23,2.231107e-14
3.981072e+00,9.131355e-23,1.521607e-14
5.011872e+00,9.861152e-23,1.036800e-14
6.309573e+00,1.064019e-22,7.058569e-15
7.943282e+00,1.147117e-22,4.801480e-15
1.000000e+01,1.235659e-22,3.263366e-15
1.258925e+01,1.329798e-22,2.215914e-15
1.584893e+01,1.429875e-22,1.503368e-15
1.995262e+01,1.535937e-22,1.018921e-15
2.511886e+01,1.648031e-22,6.898152e-16
3.162278e+01,1.766184e-22,4.664480e-16
3.981072e+01,1.890254e-22,3.149832e-16
5.011872e+01,2.019967e-22,2.123790e-16
6.309573e+01,2.154905e-22,1.429537e-16
7.943282e+01,2.294443e-22,9.603831e-17
1.000000e+02,2.437725e-22,6.438015e-17
1.258925e+02,2.583645e-22,4.305267e-17
1.584893e+02,2.730750e-22,2.871106e-17
1.995262e+02,2.877244e-22,1.908728e-17
2.511886e+02,3.021016e-22,1.264504e-17
3.162278e+02,3.159480e-22,8.344165e-18
3.981072e+02,3.289736e-22,5.481865e-18
5.011872e+02,3.408372e-22,3.583556e-18
6.309573e+02,3.511834e-22,2.329707e-18
7.943282e+02,3.595920e-22,1.505141e-18
1.000000e+03,3.656721e-22,9.657375e-19
1.258925e+03,3.689988e-22,6.148825e-19
1.584893e+03,3.691856e-22,3.881611e-19
1.995262e+03,3.658837e-22,2.427227e-19
2.511886e+03,3.588151e-22,1.501889e-19
3.162278e+03,3.478238e-22,9.186001e-20
3.981072e+03,3.328761e-22,5.546893e-20
5.011872e+03,3.141094e-22,3.302541e-20
6.309573e+03,2.918364e-22,1.936006e-20
7.943282e+03,2.665516e-22,1.115703e-20
1.000000e+04,2.389562e-22,6.310818e-21
1.258925e+04,2.098808e-22,3.497356e-21
1.584893e+04,1.802601e-22,1.895252e-21
1.995262e+04,1.510917e-22,1.002323e-21
2.511886e+04,1.232994e-22,5.160931e-22
3.162278e+04,9.774153e-23,2.581347e-22
3.981072e+04,7.507159e-23,1.250958e-22
5.011872e+04,5.570443e-23,5.856754e-23
6.309573e+04,3.981502e-23,2.641278e-23
7.943282e+04,2.731586e-23,1.143358e-23
1.000000e+05,1.794349e-23,4.738863e-24
1.258925e+05,1.123071e-23,1.871434e-24
1.584893e+05,6.674297e-24,7.017344e-25
1.995262e+05,3.749485e-24,2.487361e-25
2.511886e+05,1.981845e-24,8.295394e-26
3.162278e+05,9.805988e-25,2.589755e-26
3.981072e+05,4.516942e-25,7.526825e-27
5.011872e+05,1.925969e-25,2.024961e-27
6.309573e+05,7.550334e-26,5.008797e-28
7.943282e+05,2.703138e-26,1.131450e-28
1.000000e+06,8.772825e-27,2.316897e-29
1.258925e+06,2.559608e-27,4.265214e-30
1.584893e+06,6.658517e-28,7.000753e-31
1.995262e+06,1.529600e-28,1.014717e-31
2.511886e+06,3.073357e-29,1.286413e-32
3.162278e+06,5.343790e-30,1.411291e-33
3.981072e+06,7.947795e-31,1.324384e-34
5.011872e+06,9.983656e-32,1.049680e-35
6.309573e+06,1.045493e-32,6.935672e-37
7.943282e+06,8.989359e-34,3.762669e-38
1.000000e+07,6.246735e-35,1.649758e-39
