nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.571668e-24,1.781481e-17
1.258925e+00,1.697319e-24,1.213903e-17
1.584893e+00,1.832973e-24,8.271351e-18
1.995262e+00,1.979428e-24,5.635859e-18
2.511886e+00,2.137554e-24,3.840055e-18
3.162278e+00,2.308272e-24,2.616419e-18
3.981072e+00,2.492595e-24,1.782675e-18
5.011872e+00,2.691608e-24,1.214597e-18
6.309573e+00,2.906483e-24,8.275382e-19
7.943282e+00,3.138487e-24,5.638202e-19
1.000000e+01,3.388971e-24,3.841388e-19
1.258925e+01,3.656284e-24,2.614931e-19
1.584893e+01,3.948083e-24,1.781585e-19
1.995262e+01,4.263120e-24,1.213802e-19
2.511886e+01,4.603369e-24,8.269821e-20
3.162278e+01,4.970650e-24,5.634216e-20
3.981072e+01,5.367274e-24,3.838611e-20
5.011872e+01,5.795543e-24,2.615257e-20
6.309573e+01,6.257923e-24,1.781766e-20
7.943282e+01,6.757181e-24,1.213908e-20
1.000000e+02,7.296305e-24,8.270338e-21
1.258925e+02,7.878354e-24,5.634506e-21
1.584893e+02,8.506752e-24,3.838699e-21
1.995262e+02,9.185436e-24,2.615291e-21
2.511886e+02,9.917946e-24,1.781731e-21
3.162278e+02,1.070907e-23,1.213869e-21
3.981072e+02,1.156325e-23,8.269899e-22
5.011872e+02,1.248532e-23,5.634043e-22
6.309573e+02,1.348094e-23,3.838315e-22
7.943282e+02,1.455584e-23,2.614915e-22
1.000000e+03,1.571632e-23,1.781440e-22
1.258925e+03,1.696901e-23,1.213604e-22
1.584893e+03,1.832161e-23,8.267686e-23
1.995262e+03,1.978130e-23,5.632161e-23
2.511886e+03,2.135735e-23,3.836788e-23
3.162278e+03,2.305860e-23,2.613685e-23
3.981072e+03,2.489450e-23,1.780425e-23
5.011872e+03,2.687596e-23,1.212786e-23
6.309573e+03,2.901437e-23,8.261016e-24
7.943282e+03,3.132178e-23,5.626868e-24
1.000000e+04,3.381139e-23,3.832511e-24
1.258925e+04,3.649695e-23,2.610218e-24
1.584893e+04,3.939355e-23,1.777647e-24
1.995262e+04,4.251717e-23,1.210555e-24
2.511886e+04,4.588510e-23,8.243127e-25
3.162278e+04,4.951539e-23,5.612554e-25
3.981072e+04,5.342752e-23,3.821073e-25
5.011872e+04,5.764174e-23,2.601102e-25
6.309573e+04,6.217965e-23,1.770388e-25
7.943282e+04,6.706377e-23,1.204782e-25
1.000000e+05,7.231791e-23,8.197213e-26
1.258925e+05,7.796671e-23,5.576087e-26
1.584893e+05,8.403494e-23,3.792104e-26
1.995262e+05,9.055014e-23,2.578158e-26
2.511886e+05,9.753736e-23,1.752231e-26
3.162278e+05,1.049712e-22,1.189846e-26
3.981072e+05,1.126751e-22,8.058390e-27
5.011872e+05,1.201131e-22,5.420144e-27
6.309573e+05,1.262995e-22,3.596020e-27
7.943282e+05,1.301739e-22,2.338537e-27
1.000000e+06,1.311435e-22,1.486559e-27
1.258925e+06,1.616674e-22,1.156226e-27
1.584893e+06,1.732010e-22,7.815753e-28
1.995262e+06,1.853386e-22,5.276989e-28
2.511886e+06,1.980552e-22,3.558006e-28
3.162278e+06,2.113157e-22,2.395257e-28
3.981072e+06,2.250648e-22,1.609637e-28
5.011872e+06,2.392242e-22,1.079507e-28
6.309573e+06,2.536901e-22,7.223104e-29
7.943282e+06,2.683329e-22,4.820524e-29
1.000000e+07,2.829834e-22,3.207608e-29
