nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.527100e-22,2.189417e-12
1.258925e+00,1.663455e-22,1.504777e-12
1.584893e+00,1.802826e-22,1.028999e-12
1.995262e+00,1.944332e-22,7.002151e-13
2.511886e+00,2.092731e-22,4.755263e-13
3.162278e+00,2.244949e-22,3.218604e-13
3.981072e+00,2.402874e-22,2.173662e-13
5.011872e+00,2.563780e-22,1.463329e-13
6.309573e+00,2.725487e-22,9.815336e-14
7.943282e+00,2.885260e-22,6.556108e-14
1.000000e+01,3.039808e-22,4.358201e-14
1.258925e+01,3.186074e-22,2.882153e-14
1.584893e+01,3.320165e-22,1.895051e-14
1.995262e+01,3.438592e-22,1.238345e-14
2.511886e+01,3.537643e-22,8.038501e-15
3.162278e+01,3.613381e-22,5.180538e-15
3.981072e+01,3.662098e-22,3.312769e-15
5.011872e+01,3.679834e-22,2.100339e-15
6.309573e+01,3.663013e-22,1.319166e-15
7.943282e+01,3.608626e-22,8.199795e-16
1.000000e+02,3.514713e-22,5.039077e-16
1.258925e+02,3.380583e-22,3.058107e-16
1.584893e+02,3.206963e-22,1.830438e-16
1.995262e+02,2.996103e-22,1.078991e-16
2.511886e+02,2.753259e-22,6.256165e-17
3.162278e+02,2.484073e-22,3.561440e-17
3.981072e+02,2.197037e-22,1.987461e-17
5.011872e+02,1.901076e-22,1.085077e-17
6.309573e+02,1.606360e-22,5.785007e-18
7.943282e+02,1.322458e-22,3.004989e-18
1.000000e+03,1.058237e-22,1.517205e-18
1.258925e+03,8.210284e-23,7.427101e-19
1.584893e+03,6.160856e-23,3.516432e-19
1.995262e+03,4.456291e-23,1.604851e-19
2.511886e+03,3.097723e-23,7.038882e-20
3.162278e+03,2.063037e-23,2.957795e-20
3.981072e+03,1.310653e-23,1.185629e-20
5.011872e+03,7.920038e-24,4.520520e-21
6.309573e+03,4.528438e-24,1.630833e-21
7.943282e+03,2.439721e-24,5.543720e-22
1.000000e+04,1.232172e-24,1.766577e-22
1.258925e+04,5.803642e-25,5.250030e-23
1.584893e+04,2.534732e-25,1.446749e-23
1.995262e+04,1.020036e-25,3.673471e-24
2.511886e+04,3.757045e-26,8.537044e-25
3.162278e+04,1.257410e-26,1.802761e-25
3.981072e+04,3.793954e-27,3.432046e-26
5.011872e+04,1.023415e-27,5.841345e-27
6.309573e+04,2.446113e-28,8.809224e-28
7.943282e+04,5.129298e-29,1.165518e-28
1.000000e+05,9.338306e-30,1.338842e-29
1.258925e+05,1.459466e-30,1.320247e-30
1.584893e+05,1.934149e-31,1.103954e-31
1.995262e+05,2.144953e-32,7.724652e-33
2.511886e+05,1.962173e-33,4.458599e-34
3.162278e+05,1.457978e-34,2.090316e-35
3.981072e+05,8.653717e-36,7.828235e-37
5.011872e+05,4.029757e-37,2.300064e-38
6.309573e+05,1.443914e-38,5.199990e-40
7.943282e+05,3.898327e-40,8.858077e-42
1.000000e+06,7.752792e-42,1.111525e-43
1.258925e+06,1.108316e-43,1.002593e-45
1.584893e+06,1.109258e-45,6.331314e-48
1.995262e+06,7.554257e-48,2.720526e-50
2.511886e+06,3.394538e-50,7.713327e-53
3.162278e+06,9.735882e-53,1.395843e-55
3.981072e+06,1.719501e-55,1.555476e-58
5.011872e+06,1.799066e-58,1.026853e-61
6.309573e+06,1.069436e-61,3.851375e-65
7.943282e+06,3.452417e-65,7.844844e-69
1.000000e+07,5.764846e-69,8.265114e-73
