nu/nu_c,j_nu,alpha_nu
1.000000e+00,5.008287e-23,1.096034e-13
1.258925e+00,5.440507e-23,7.512319e-14
1.584893e+00,5.903503e-23,5.143330e-14
1.995262e+00,6.398748e-23,3.517464e-14
2.511886e+00,6.928287e-23,2.403037e-14
3.162278e+00,7.495186e-23,1.640276e-14
3.981072e+00,8.101638e-23,1.118684e-14
5.011872e+00,8.750711e-23,7.623913e-15
6.309573e+00,9.445171e-23,5.192116e-15
7.943282e+00,1.018779e-22,3.533577e-15
1.000000e+01,1.098120e-22,2.403169e-15
1.258925e+01,1.182716e-22,1.633109e-15
1.584893e+01,1.272989e-22,1.109071e-15
1.995262e+01,1.369019e-22,7.525651e-16
2.511886e+01,1.471006e-22,5.102100e-16
3.162278e+01,1.579031e-22,3.455614e-16
3.981072e+01,1.693136e-22,2.337903e-16
5.011872e+01,1.813277e-22,1.579788e-16
6.309573e+01,1.939253e-22,1.066029e-16
7.943282e+01,2.070771e-22,7.182352e-17
1.000000e+02,2.207303e-22,4.830550e-17
1.258925e+02,2.348165e-22,3.242374e-17
1.584893e+02,2.492428e-22,2.171487e-17
1.995262e+02,2.638803e-22,1.450580e-17
2.511886e+02,2.785781e-22,9.662322e-18
3.162278e+02,2.931427e-22,6.415251e-18
3.981072e+02,3.073437e-22,4.243839e-18
5.011872e+02,3.209154e-22,2.795923e-18
6.309573e+02,3.335467e-22,1.833543e-18
7.943282e+02,3.448837e-22,1.196210e-18
1.000000e+03,3.545559e-22,7.759243e-19
1.258925e+03,3.621533e-22,5.000657e-19
1.584893e+03,3.672609e-22,3.199700e-19
1.995262e+03,3.694669e-22,2.031001e-19
2.511886e+03,3.684052e-22,1.277793e-19
3.162278e+03,3.637424e-22,7.960284e-20
3.981072e+03,3.552414e-22,4.905217e-20
5.011872e+03,3.427995e-22,2.986584e-20
6.309573e+03,3.264074e-22,1.794298e-20
7.943282e+03,3.063032e-22,1.062395e-20
1.000000e+04,2.828594e-22,6.190209e-21
1.258925e+04,2.566339e-22,3.543632e-21
1.584893e+04,2.283948e-22,1.989853e-21
1.995262e+04,1.990061e-22,1.093959e-21
2.511886e+04,1.694339e-22,5.876719e-22
3.162278e+04,1.406716e-22,3.078513e-22
3.981072e+04,1.136047e-22,1.568668e-22
5.011872e+04,8.903734e-23,7.757232e-23
6.309573e+04,6.754997e-23,3.713298e-23
7.943282e+04,4.946050e-23,1.715509e-23
1.000000e+05,3.484232e-23,7.625031e-24
1.258925e+05,2.353624e-23,3.249913e-24
1.584893e+05,1.519260e-23,1.323630e-24
1.995262e+05,9.335059e-24,5.131587e-25
2.511886e+05,5.437345e-24,1.885912e-25
3.162278e+05,2.988791e-24,6.540790e-26
3.981072e+05,1.542860e-24,2.130399e-26
5.011872e+05,7.441058e-25,6.482900e-27
6.309573e+05,3.334667e-25,1.833104e-27
7.943282e+05,1.379686e-25,4.785362e-28
1.000000e+06,5.237281e-26,1.146147e-28
1.258925e+06,1.810031e-26,2.499312e-29
1.584893e+06,5.654944e-27,4.926777e-30
1.995262e+06,1.583234e-27,8.703215e-31
2.511886e+06,3.938079e-28,1.365900e-31
3.162278e+06,8.622151e-29,1.886906e-32
3.981072e+06,1.644371e-29,2.270568e-33
5.011872e+06,2.704088e-30,2.355892e-34
6.309573e+06,3.785699e-31,2.081041e-35
7.943282e+06,4.455088e-32,1.545222e-36
1.000000e+07,4.346560e-33,9.512185e-38
