nu/nu_c,j_nu,alpha_nu
1.000000e+00,4.274443e-24,2.179521e-16
1.258925e+00,4.617432e-24,1.485532e-16
1.584893e+00,4.987623e-24,1.012454e-16
1.995262e+00,5.387199e-24,6.899928e-17
2.511886e+00,5.818508e-24,4.702115e-17
3.162278e+00,6.284095e-24,3.204234e-17
3.981072e+00,6.786698e-24,2.183434e-17
5.011872e+00,7.329278e-24,1.487794e-17
6.309573e+00,7.915029e-24,1.013757e-17
7.943282e+00,8.547377e-24,6.907396e-18
1.000000e+01,9.230061e-24,4.706371e-18
1.258925e+01,9.959385e-24,3.204159e-18
1.584893e+01,1.075457e-23,2.183105e-18
1.995262e+01,1.161311e-23,1.487408e-18
2.511886e+01,1.253986e-23,1.013385e-18
3.162278e+01,1.354051e-23,6.904252e-19
3.981072e+01,1.462068e-23,4.703804e-19
5.011872e+01,1.578692e-23,3.204638e-19
6.309573e+01,1.704588e-23,2.183237e-19
7.943282e+01,1.840494e-23,1.487359e-19
1.000000e+02,1.987179e-23,1.013254e-19
1.258925e+02,2.145544e-23,6.902700e-20
1.584893e+02,2.316479e-23,4.702295e-20
1.995262e+02,2.500934e-23,3.203197e-20
2.511886e+02,2.700045e-23,2.181989e-20
3.162278e+02,2.914870e-23,1.486280e-20
3.981072e+02,3.146719e-23,1.012371e-20
5.011872e+02,3.396848e-23,6.895371e-21
6.309573e+02,3.666654e-23,4.696253e-21
7.943282e+02,3.957703e-23,3.198341e-21
1.000000e+03,4.271508e-23,2.178024e-21
1.258925e+03,4.609852e-23,1.483093e-21
1.584893e+03,4.974570e-23,1.009804e-21
1.995262e+03,5.367580e-23,6.874800e-22
2.511886e+03,5.790910e-23,4.679811e-22
3.162278e+03,6.246778e-23,3.185207e-22
3.981072e+03,6.737396e-23,2.167572e-22
5.011872e+03,7.265175e-23,1.474781e-22
6.309573e+03,7.832549e-23,1.003193e-22
7.943282e+03,8.442031e-23,6.822263e-23
1.000000e+04,9.096373e-23,4.638203e-23
1.258925e+04,9.798025e-23,3.152246e-23
1.584893e+04,1.054957e-22,2.141490e-23
1.995262e+04,1.135368e-22,1.454181e-23
2.511886e+04,1.221264e-22,9.869404e-24
3.162278e+04,1.312864e-22,6.694241e-24
3.981072e+04,1.410353e-22,4.537425e-24
5.011872e+04,1.513889e-22,3.073092e-24
6.309573e+04,1.623497e-22,2.079376e-24
7.943282e+04,1.739231e-22,1.405525e-24
1.000000e+05,1.860972e-22,9.489022e-25
1.258925e+05,1.988485e-22,6.397404e-25
1.584893e+05,2.121423e-22,4.306346e-25
1.995262e+05,2.259192e-22,2.893575e-25
2.511886e+05,2.401006e-22,1.940326e-25
3.162278e+05,2.545821e-22,1.298104e-25
3.981072e+05,2.692292e-22,8.661710e-26
5.011872e+05,2.838751e-22,5.762472e-26
6.309573e+05,2.983162e-22,3.820836e-26
7.943282e+05,3.123072e-22,2.523850e-26
1.000000e+06,3.255564e-22,1.659999e-26
1.258925e+06,3.377673e-22,1.086674e-26
1.584893e+06,3.485513e-22,7.075355e-27
1.995262e+06,3.575286e-22,4.579229e-27
2.511886e+06,3.642954e-22,2.943982e-27
3.162278e+06,3.684191e-22,1.878554e-27
3.981072e+06,3.695119e-22,1.188803e-27
5.011872e+06,3.672337e-22,7.454596e-28
6.309573e+06,3.612434e-22,4.626808e-28
7.943282e+06,3.513631e-22,2.839472e-28
1.000000e+07,3.375231e-22,1.721017e-28
