nu/nu_c,j_nu,alpha_nu
1.000000e+00,1.835262e-22,3.831992e-12
1.258925e+00,2.002544e-22,2.638204e-12
1.584893e+00,2.171531e-22,1.805064e-12
1.995262e+00,2.335135e-22,1.224725e-12
2.511886e+00,2.501131e-22,8.276809e-13
3.162278e+00,2.662411e-22,5.559063e-13
3.981072e+00,2.823593e-22,3.719877e-13
5.011872e+00,2.981354e-22,2.478221e-13
6.309573e+00,3.133257e-22,1.643321e-13
7.943282e+00,3.275528e-22,1.083946e-13
1.000000e+01,3.403005e-22,7.105409e-14
1.258925e+01,3.510733e-22,4.625133e-14
1.584893e+01,3.592841e-22,2.986513e-14
1.995262e+01,3.644626e-22,1.911523e-14
2.511886e+01,3.661840e-22,1.211786e-14
3.162278e+01,3.641661e-22,7.603716e-15
3.981072e+01,3.582030e-22,4.719062e-15
5.011872e+01,3.481617e-22,2.894059e-15
6.309573e+01,3.340157e-22,1.751836e-15
7.943282e+01,3.159119e-22,1.045424e-15
1.000000e+02,2.941302e-22,6.141381e-16
1.258925e+02,2.692091e-22,3.546632e-16
1.584893e+02,2.418326e-22,2.010210e-16
1.995262e+02,2.127762e-22,1.115962e-16
2.511886e+02,1.830914e-22,6.058910e-17
3.162278e+02,1.537654e-22,3.210591e-17
3.981072e+02,1.256924e-22,1.655905e-17
5.011872e+02,9.982069e-23,8.297495e-18
6.309573e+02,7.681010e-23,4.028513e-18
7.943282e+02,5.710559e-23,1.889753e-18
1.000000e+03,4.089584e-23,8.538972e-19
1.258925e+03,2.812482e-23,3.705239e-19
1.584893e+03,1.850792e-23,1.538453e-19
1.995262e+03,1.160660e-23,6.087397e-20
2.511886e+03,6.916693e-24,2.288890e-20
3.162278e+03,3.894895e-24,8.132464e-21
3.981072e+03,2.063997e-24,2.719165e-21
5.011872e+03,1.024029e-24,8.512140e-22
6.309573e+03,4.730806e-25,2.481199e-22
7.943282e+03,2.022956e-25,6.694419e-23
1.000000e+04,7.957992e-26,1.661613e-23
1.258925e+04,2.859822e-26,3.767606e-24
1.584893e+04,9.319918e-27,7.747089e-25
1.995262e+04,2.732391e-27,1.433076e-25
2.511886e+04,7.144695e-28,2.364341e-26
3.162278e+04,1.651131e-28,3.447529e-27
3.981072e+04,3.338717e-29,4.398514e-28
5.011872e+04,5.842678e-30,4.856668e-29
6.309573e+04,8.754234e-31,4.591394e-30
7.943282e+04,1.108176e-31,3.667205e-31
1.000000e+05,1.169481e-32,2.441854e-32
1.258925e+05,1.014032e-33,1.335913e-33
1.584893e+05,7.110905e-35,5.910869e-35
1.995262e+05,3.964794e-36,2.079443e-36
2.511886e+05,1.725690e-37,5.710699e-38
3.162278e+05,5.748314e-39,1.200237e-39
3.981072e+05,1.434357e-40,1.889660e-41
5.011872e+05,2.619855e-42,2.177728e-43
6.309573e+05,3.416381e-44,1.791813e-45
7.943282e+05,3.096189e-46,1.024599e-47
1.000000e+06,1.894229e-48,3.955113e-50
1.258925e+06,7.581358e-51,9.987883e-53
1.584893e+06,1.918893e-53,1.595061e-55
1.995262e+06,2.961080e-56,1.553018e-58
2.511886e+06,2.677843e-59,8.861589e-62
3.162278e+06,1.359965e-62,2.839580e-65
3.981072e+06,3.704015e-66,4.879768e-69
5.011872e+06,5.147786e-70,4.279046e-73
6.309573e+06,3.459782e-74,1.814576e-77
7.943282e+06,1.061147e-78,3.511576e-82
1.000000e+07,1.395119e-83,2.912982e-87
