nu/nu_c,j_nu,alpha_nu
1.000000e+00,3.329181e-24,1.165611e-16
1.258925e+00,3.595978e-24,7.943890e-17
1.584893e+00,3.883962e-24,5.413662e-17
1.995262e+00,4.194832e-24,3.689188e-17
2.511886e+00,4.530414e-24,2.513936e-17
3.162278e+00,4.892699e-24,1.713029e-17
3.981072e+00,5.283811e-24,1.167249e-17
5.011872e+00,5.706050e-24,7.953382e-18
6.309573e+00,6.161899e-24,5.419146e-18
7.943282e+00,6.654060e-24,3.692351e-18
1.000000e+01,7.185469e-24,2.515772e-18
1.258925e+01,7.752818e-24,1.712678e-18
1.584893e+01,8.371778e-24,1.166901e-18
1.995262e+01,9.040042e-24,7.950358e-19
2.511886e+01,9.761526e-24,5.416689e-19
3.162278e+01,1.054048e-23,3.690427e-19
3.981072e+01,1.138145e-23,2.514281e-19
5.011872e+01,1.228942e-23,1.712962e-19
6.309573e+01,1.326978e-23,1.167024e-19
7.943282e+01,1.432814e-23,7.950713e-20
1.000000e+02,1.547062e-23,5.416565e-20
1.258925e+02,1.670413e-23,3.690116e-20
1.584893e+02,1.803577e-23,2.513917e-20
1.995262e+02,1.947327e-23,1.712597e-20
2.511886e+02,2.102485e-23,1.166673e-20
3.162278e+02,2.269964e-23,7.947586e-21
3.981072e+02,2.450734e-23,5.413927e-21
5.011872e+02,2.645848e-23,3.687918e-21
6.309573e+02,2.856388e-23,2.512080e-21
7.943282e+02,3.083576e-23,1.711082e-21
1.000000e+03,3.328718e-23,1.165449e-21
1.258925e+03,3.593153e-23,7.937649e-22
1.584893e+03,3.878399e-23,5.405909e-22
1.995262e+03,4.186004e-23,3.681424e-22
2.511886e+03,4.517659e-23,2.506858e-22
3.162278e+03,4.875198e-23,1.706902e-22
3.981072e+03,5.260498e-23,1.162099e-22
5.011872e+03,5.675655e-23,7.911016e-23
6.309573e+03,6.122482e-23,5.384480e-23
7.943282e+03,6.603748e-23,3.664432e-23
1.000000e+04,7.121441e-23,2.493355e-23
1.258925e+04,7.678032e-23,1.696157e-23
1.584893e+04,8.276088e-23,1.153563e-23
1.995262e+04,8.918293e-23,7.843285e-24
2.511886e+04,9.607060e-23,5.330976e-24
3.162278e+04,1.034515e-22,3.622037e-24
3.981072e+04,1.113512e-22,2.459864e-24
5.011872e+04,1.197931e-22,1.669737e-24
6.309573e+04,1.287998e-22,1.132743e-24
7.943282e+04,1.383908e-22,7.679334e-25
1.000000e+05,1.485817e-22,5.202135e-25
1.258925e+05,1.593799e-22,3.520868e-25
1.584893e+05,1.707938e-22,2.380610e-25
1.995262e+05,1.828100e-22,1.607741e-25
2.511886e+05,1.954118e-22,1.084344e-25
3.162278e+05,2.085659e-22,7.302299e-26
3.981072e+05,2.222257e-22,4.909198e-26
5.011872e+05,2.363034e-22,3.293717e-26
6.309573e+05,2.507169e-22,2.204955e-26
7.943282e+05,2.653153e-22,1.472240e-26
1.000000e+06,2.797777e-22,9.795560e-27
1.258925e+06,2.945196e-22,6.506245e-27
1.584893e+06,3.086549e-22,4.302188e-27
1.995262e+06,3.221356e-22,2.833054e-27
2.511886e+06,3.346523e-22,1.856992e-27
3.162278e+06,3.458467e-22,1.210877e-27
3.981072e+06,3.553403e-22,7.849837e-28
5.011872e+06,3.627364e-22,5.056003e-28
6.309573e+06,3.676054e-22,3.232944e-28
7.943282e+06,3.695446e-22,2.050610e-28
1.000000e+07,3.682063e-22,1.289162e-28
