nu/nu_c,j_nu,alpha_nu
1.000000e+00,7.041575e-24,7.615212e-16
1.258925e+00,7.608728e-24,5.191875e-16
1.584893e+00,8.220674e-24,3.539318e-16
1.995262e+00,8.881019e-24,2.412542e-16
2.511886e+00,9.593635e-24,1.644354e-16
3.162278e+00,1.036272e-23,1.120691e-16
3.981072e+00,1.119278e-23,7.637481e-17
5.011872e+00,1.208869e-23,5.204646e-17
6.309573e+00,1.305569e-23,3.546597e-17
7.943282e+00,1.409943e-23,2.416651e-17
1.000000e+01,1.522607e-23,1.646645e-17
1.258925e+01,1.643091e-23,1.121176e-17
1.584893e+01,1.774293e-23,7.639016e-18
1.995262e+01,1.915920e-23,5.204626e-18
2.511886e+01,2.068764e-23,3.545872e-18
3.162278e+01,2.233742e-23,2.415712e-18
3.981072e+01,2.411806e-23,1.645714e-18
5.011872e+01,2.603949e-23,1.121101e-18
6.309573e+01,2.811304e-23,7.636951e-19
7.943282e+01,3.035062e-23,5.202112e-19
1.000000e+02,3.276492e-23,3.543409e-19
1.258925e+02,3.536887e-23,2.413422e-19
1.584893e+02,3.817836e-23,1.643726e-19
1.995262e+02,4.120805e-23,1.119423e-19
2.511886e+02,4.447472e-23,7.622991e-20
3.162278e+02,4.799585e-23,5.190579e-20
3.981072e+02,5.179088e-23,3.533991e-20
5.011872e+02,5.587965e-23,2.405835e-20
6.309573e+02,6.028292e-23,1.637595e-20
7.943282e+02,6.502332e-23,1.114503e-20
1.000000e+03,7.012384e-23,7.583642e-21
1.258925e+03,7.560892e-23,5.159233e-21
1.584893e+03,8.150342e-23,3.509037e-21
1.995262e+03,8.783289e-23,2.385994e-21
2.511886e+03,9.462366e-23,1.621855e-21
3.162278e+03,1.019031e-22,1.102046e-21
3.981072e+03,1.096938e-22,7.485040e-22
5.011872e+03,1.180233e-22,5.081359e-22
6.309573e+03,1.269129e-22,3.447609e-22
7.943282e+03,1.363841e-22,2.337631e-22
1.000000e+04,1.464519e-22,1.583824e-22
1.258925e+04,1.571247e-22,1.072153e-22
1.584893e+04,1.684124e-22,7.250806e-23
1.995262e+04,1.803081e-22,4.898096e-23
2.511886e+04,1.927933e-22,3.304487e-23
3.162278e+04,2.058369e-22,2.226053e-23
3.981072e+04,2.193961e-22,1.497066e-23
5.011872e+04,2.333991e-22,1.004874e-23
6.309573e+04,2.477547e-22,6.730294e-24
7.943282e+04,2.623433e-22,4.496578e-24
1.000000e+05,2.770125e-22,2.995791e-24
1.258925e+05,2.915770e-22,1.989598e-24
1.584893e+05,3.058117e-22,1.316637e-24
1.995262e+05,3.194531e-22,8.677993e-25
2.511886e+05,3.321917e-22,5.693784e-25
3.162278e+05,3.436884e-22,3.716867e-25
3.981072e+05,3.535644e-22,2.412574e-25
5.011872e+05,3.614171e-22,1.556040e-25
6.309573e+05,3.668368e-22,9.965178e-26
7.943282e+05,3.694099e-22,6.331705e-26
1.000000e+06,3.687536e-22,3.987938e-26
1.258925e+06,3.645331e-22,2.487420e-26
1.584893e+06,3.564989e-22,1.534865e-26
1.995262e+06,3.445322e-22,9.359269e-27
2.511886e+06,3.286103e-22,5.632398e-27
3.162278e+06,3.089416e-22,3.341093e-27
3.981072e+06,2.858799e-22,1.950723e-27
5.011872e+06,2.599701e-22,1.119272e-27
6.309573e+06,2.319128e-22,6.299948e-28
7.943282e+06,2.026284e-22,3.473061e-28
1.000000e+07,1.729779e-22,1.870694e-28
