nu/nu_c,j_nu,alpha_nu
1.000000e+00,2.684019e-22,2.089010e-11
1.258925e+00,2.898278e-22,1.423295e-11
1.584893e+00,3.147720e-22,9.753291e-12
1.995262e+00,3.227891e-22,6.310646e-12
2.511886e+00,3.329687e-22,4.107319e-12
3.162278e+00,3.348484e-22,2.606173e-12
3.981072e+00,3.326890e-22,1.633779e-12
5.011872e+00,3.245939e-22,1.005762e-12
6.309573e+00,3.107088e-22,6.074473e-13
7.943282e+00,2.913712e-22,3.594195e-13
1.000000e+01,nan,nan
1.258925e+01,2.411621e-22,1.184306e-13
1.584893e+01,2.130826e-22,6.602418e-14
1.995262e+01,1.843024e-22,3.603180e-14
2.511886e+01,1.552857e-22,1.915519e-14
3.162278e+01,1.268238e-22,9.870878e-15
3.981072e+01,1.002147e-22,4.921377e-15
5.011872e+01,7.652784e-23,2.371234e-15
6.309573e+01,5.635922e-23,1.101844e-15
7.943282e+01,3.990727e-23,4.922741e-16
1.000000e+02,2.707762e-23,2.107490e-16
1.258925e+02,1.754473e-23,8.615920e-17
1.584893e+02,1.081479e-23,3.350991e-17
1.995262e+02,6.315713e-24,1.234745e-17
2.511886e+02,3.479200e-24,4.291750e-18
3.162278e+02,1.798718e-24,1.399968e-18
3.981072e+02,8.685485e-25,4.265295e-19
5.011872e+02,3.894485e-25,1.206716e-19
6.309573e+02,1.611881e-25,3.151287e-20
7.943282e+02,6.117920e-26,7.546729e-21
1.000000e+03,2.114396e-26,1.645665e-21
1.258925e+03,6.603494e-27,3.242864e-22
1.584893e+03,1.848540e-27,5.727748e-23
1.995262e+03,4.597097e-28,8.987496e-24
2.511886e+03,1.006099e-28,1.241068e-24
3.162278e+03,1.917678e-29,1.492556e-25
3.981072e+03,3.148645e-30,1.546246e-26
5.011872e+03,4.400305e-31,1.363445e-27
6.309573e+03,5.166701e-32,1.010109e-28
7.943282e+03,5.026366e-33,6.200249e-30
1.000000e+04,3.990779e-34,3.106080e-31
1.258925e+04,2.544171e-35,1.249399e-32
1.584893e+04,1.279638e-36,3.964991e-34
1.995262e+04,4.982413e-38,9.740802e-36
2.511886e+04,1.471321e-39,1.814941e-37
3.162278e+04,3.223190e-41,2.508655e-39
3.981072e+04,5.114540e-43,2.511664e-41
5.011872e+04,5.728946e-45,1.775128e-43
6.309573e+04,4.405596e-47,8.613104e-46
7.943282e+04,2.257084e-49,2.784214e-48
1.000000e+05,7.457879e-52,5.804574e-51
1.258925e+05,1.534604e-54,7.536180e-54
1.584893e+05,1.893511e-57,5.867091e-57
1.995262e+05,1.344922e-60,2.629372e-60
2.511886e+05,5.261830e-64,6.490704e-64
3.162278e+05,1.081225e-67,8.415326e-68
3.981072e+05,1.108439e-71,5.443356e-72
5.011872e+05,5.363189e-76,1.661797e-76
6.309573e+05,1.153529e-80,2.255192e-81
7.943282e+05,1.033781e-85,1.275216e-86
1.000000e+06,3.599853e-91,2.801817e-92
1.258925e+06,4.516871e-97,2.218159e-98
1.584893e+06,1.882416e-103,5.832714e-105
1.995262e+06,2.386304e-110,4.665313e-112
2.511886e+06,8.368132e-118,1.032247e-119
3.162278e+06,7.326476e-126,5.702301e-128
3.981072e+06,1.433656e-134,7.040442e-137
5.011872e+06,5.563676e-144,1.723919e-146
6.309573e+06,3.763473e-154,7.357729e-157
7.943282e+06,3.860084e-165,4.761587e-168
1.000000e+07,5.164502e-177,4.019606e-180
